Pathway	GeneID	Symbol	Description	Drought_W24_log2FC	Drought_W24_padj	Drought_W8_log2FC	Drought_W8_padj	W24_vs_W8_Drought_log2FC	W24_vs_W8_Drought_padj	W24_vs_W8_Control_log2FC	W24_vs_W8_Control_padj
ABA	HORVU5Hr1G099200	HORVU5Hr1G099200	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2D423]	-0.6433	0.475416	-0.5664	0.748751	0.0398	0.799488	0.1167	0.675366
ABA	HORVU5Hr1G099240	HORVU5Hr1G099240		-0.101	0.670681	-0.0441	0.850819	-0.3899	0.343735	-0.333	0.144376
ROS_Scavenging	HORVU5Hr1G099330	HORVU5Hr1G099330		-0.8154	0.670681	0.7637	0.810251	-2.9881	0.543582	-1.4091	0.436466
Fatty_Acid	HORVU5Hr1G099350	HORVU5Hr1G099350	Long chain acyl-CoA synthetase 2 [Source:Projected from Arabidopsis thaliana (AT1G49430) UniProtKB/Swiss-Prot;Acc:Q9XIA9]	-0.4661	0.670681	0.3126	0.748751	1.7861	0.485415	2.5648	0.160768
Cytokinin	HORVU5Hr1G099380	HORVU5Hr1G099380		-1.0674	0.670681	0	NA	0	NA	1.0674	0.58482
Proline	HORVU5Hr1G099390	HORVU5Hr1G099390		-3.0108	0.670681	1.4789	0.776741	-6.8654	0.581684	-2.3758	0.458833
Proline	HORVU5Hr1G099460	HORVU5Hr1G099460		-2.836	0.622742	1.7329	0.785503	-4.9874	0.606531	-0.4186	0.889242
Proline	HORVU5Hr1G099470	HORVU5Hr1G099470		-3.5968	0.538407	0.2472	0.952748	-3.79	0.606531	0.054	0.974385
Inositol	HORVU5Hr1G099490	HORVU5Hr1G099490		-0.0561	0.795795	-0.1083	0.779335	0.4004	0.363946	0.3482	0.248973
Cytokinin	HORVU5Hr1G099550	HORVU5Hr1G099550	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DXL1]	-0.2016	0.859003	0.1717	0.859555	-0.441	0.633288	-0.0678	0.88405
Cytokinin	HORVU5Hr1G099640	HORVU5Hr1G099640		0.4764	0.674337	-0.2945	0.748751	-0.441	0.37645	-1.2119	0.267694
Fatty_Acid	HORVU5Hr1G099820	HORVU5Hr1G099820	Citrate synthase [Source:UniProtKB/TrEMBL;Acc:A0A287SHJ5]	-0.2041	0.670681	-0.0442	0.923967	-0.2508	0.599116	-0.0909	0.586995
Fatty_Acid	HORVU5Hr1G099910	HORVU5Hr1G099910		-0.1287	0.772401	-0.3331	0.748751	-0.0935	0.87708	-0.2979	0.488008
Transcription	HORVU5Hr1G099940	HORVU5Hr1G099940		-0.0307	0.982836	0.2679	0.810794	-3.3507	0.384582	-3.0521	0.067951
Photosynthesis	HORVU5Hr1G100140	HORVU5Hr1G100140		0.5819	0.547813	0.3715	0.748751	0.4771	0.49707	0.2667	0.58482
Glutathione_Metabolism	HORVU5Hr1G100210	HORVU5Hr1G100210		-2.346	0.598539	1.4856	0.748751	-1.4856	0.606531	2.346	0.454921
ABA	HORVU5Hr1G100460	HORVU5Hr1G100460		-0.541	0.88394	-3.2435	0.748751	0.4366	0.832964	-2.2659	0.239032
Cytokinin	HORVU5Hr1G100670	HORVU5Hr1G100670		-0.3091	0.843046	-0.4327	0.748751	0.3975	0.606531	0.2738	0.817559
