Pathway	GeneID	Symbol	Description	HL_vs_LL_1mM_log2FC	HL_vs_LL_1mM_padj	HL_vs_LL_10mM_log2FC	HL_vs_LL_10mM_padj	HighN_vs_LowN_HL_log2FC	HighN_vs_LowN_HL_padj	HighN_vs_LowN_LL_log2FC	HighN_vs_LowN_LL_padj
Protein_Proteolysis	Cz07g10080	AT4G38225	(1 of 1) PTHR11014//PTHR11014.SF83 - PEPTIDASE M20 FAMILY MEMBER // SUBFAMILY NOT NAMED	0.0811	0.541752	0.1798	0.266504	-0.0063	0.953147	-0.105	0.18944
Protein_Kinase_Signalling	Cz07g10120	AT5G12180	(1 of 1) PTHR24349:SF353 - CALCIUM-DEPENDENT PROTEIN KINASE 17	0.0059	0.951182	0.1455	0.190164	-0.2937	0.018916	-0.4333	0.021812
Vitamin_B2_Riboflavin	Cz07g10170	AT3G01920	(1 of 1) PTHR42828:SF3 - DHBP SYNTHASE RIBB-LIKE ALPHA_BETA DOMAIN-CONTAINING PROTEIN	-0.0248	0.644469	0.4051	0.259249	0.5134	0.081214	0.0835	0.048131
Glycolysis	Cz07g10180	AT3G14790	(1 of 1) PTHR43000:SF44 - TRIFUNCTIONAL UDP-GLUCOSE 4,6-DEHYDRATASE_UDP-4-KETO-6-DEOXY-D-GLUCOSE 3,5-EPIMERASE_UDP-4-KETO-L-RHAMNOSE-REDUCTASE RHM3	0.0755	0.58455	0.3906	0.228411	-0.0138	0.727649	-0.3289	0.122198
RNA_Splicing	Cz07g10230	AT1G04080	(1 of 1) PTHR17204:SF5 - PRE-MRNA-PROCESSING FACTOR 39	-0.0965	0.458076	0.1722	0.452345	0.0347	0.789744	-0.2339	0.089326
RNA_Splicing	Cz07g10240	AT1G04080	(1 of 1) PTHR17204:SF5 - PRE-MRNA-PROCESSING FACTOR 39	-5e-04	0.996517	0.1395	0.103186	-0.084	0.130216	-0.224	0.082362
Folate	Cz07g11060	AT1G60990	(1 of 2) 2.1.2.10 - aminomethyltransferase. / tetrahydrofolate aminomethyltransferase.	0.1968	0.287233	1.0332	0.182111	0.9504	0.066964	0.1139	0.154464
Protein_Methylation	Cz07g11070	AT1G51450	(1 of 1) K14964 - Set1/Ash2 histone methyltransferase complex subunit ASH2 (ASH2)	0.1263	0.319723	0.1587	0.309725	-0.2065	0.076491	-0.2389	0.071185
Tyrosine	Cz07g11100	AT1G77550	(1 of 1) K16609 - tubulin--tyrosine ligase-like protein 12 (TTLL12)	0.3532	0.174532	0.1776	0.234638	-0.5494	0.009874	-0.3738	0.028868
Aquaporin	Cz07g11110	AT4G09640	(1 of 3) PTHR12570:SF89 - MAGNESIUM TRANSPORTER NIPA3-RELATED	0.3369	0.415779	-0.2461	0.687827	-0.914	0.063588	-0.331	0.279843
RNA_Splicing	Cz07g11130	AT5G51300	(1 of 1) PTHR11208:SF45 - SPLICING FACTOR 1	0.0174	0.916162	0.1315	0.686484	-0.5182	0.037446	-0.6323	0.041353
RNA_Processing	Cz07g11140	AT3G16840	(1 of 1) K14805 - ATP-dependent RNA helicase DDX24/MAK5 [EC:3.6.4.13] (DDX24, MAK5)	-0.1662	0.477984	0.2992	0.444704	-0.0751	0.704425	-0.5406	0.067927
Ubiquitin_Proteasome	Cz07g11170	AT1G05890	(1 of 1) PTHR11685:SF316 - E3 UBIQUITIN-PROTEIN LIGASE ARI5-RELATED	-0.0972	0.596895	-0.0212	0.965271	-0.7765	0.012107	-0.8526	0.044144
Pyrimidine	Cz07g11240	AT3G21300	(1 of 2) 2.1.1.189//2.1.1.190 - 23S rRNA (uracil(747)-C(5))-methyltransferase. / 23S rRNA (uracil(747)-C(5))-methyltransferase. // 23S rRNA (uracil(1939)-C(5))-methyltransferase. / RNA uridine methyltransferase A.	-0.1671	0.437683	-0.0059	0.974513	0.2709	0.112452	0.1096	0.400353
Cytoskeleton	Cz07g11260	AT1G05320	(1 of 1) PTHR43049:SF1 - MYOSIN HEAVY CHAIN, EMBRYONIC SMOOTH PROTEIN	0.1403	0.595332	-0.0349	0.937045	-0.5584	0.076633	-0.3833	0.112599
Redox_Metabolism	Cz07g12020	AT5G02540	(1 of 1) PTHR24320:SF227 - RETINOL DEHYDROGENASE 12	-0.3401	0.629717	-0.7919	0.207702	-0.8693	0.163971	-0.4174	0.415009
Sucrose	Cz07g12030	AT3G54270	(1 of 1) PTHR46521:SF8 - SUCROSE-PHOSPHATASE 3A-RELATED	0.2006	0.79401	-4.2587	0.434338	-6.989	0.083882	-2.5297	0.076835
RNA_Degradation	Cz07g12040	AT1G02080	(1 of 1) K12604 - CCR4-NOT transcription complex subunit 1 (CNOT1, NOT1)	0.7435	0.347381	-1.6231	0.094112	-3.8572	0.057473	-1.4906	0.12989
Serine	Cz07g12090	AT3G01720	(1 of 1) PTHR31485:SF7 - PEPTIDYL SERINE ALPHA-GALACTOSYLTRANSFERASE	0.4139	0.3575	-0.6757	0.176178	-1.9536	0.028972	-0.864	0.105422
Serine	Cz07g12100	AT3G01720	(1 of 1) PTHR31485:SF7 - PEPTIDYL SERINE ALPHA-GALACTOSYLTRANSFERASE	0.5289	0.493051	-0.679	0.371469	-2.0483	0.079436	-0.8404	0.236508
Histone_Chaperone	Cz07g12160	AT1G44780	(1 of 2) PTHR15410:SF2 - HIRA-INTERACTING PROTEIN 3	0.026	0.861553	-0.0705	0.74515	-0.61	0.023555	-0.5136	0.027666
RNA_Splicing	Cz07g12170	AT3G61690	(1 of 1) PTHR45979:SF30 - NUCLEOTIDYLTRANSFERASE	0.1465	0.412157	0.0027	0.996148	-1.6035	0.007735	-1.4597	0.019444
Chaperone	Cz07g12180	AT3G58020	(1 of 2) PTHR45376:SF1 - CHAPERONE DNAJ-DOMAIN SUPERFAMILY PROTEIN-RELATED	0.1058	0.330792	0.0423	0.827531	-0.3558	0.034481	-0.2923	0.060213
Protein_Sorting_Secretory	Cz07g12190	AT3G24315	(1 of 1) K08497 - protein transport protein SEC20 (SEC20)	0.0983	0.481388	0.206	0.441211	-0.2183	0.155288	-0.3259	0.098736
SCF_Cullin_Ligase	Cz07g12230	AT1G25280	(1 of 1) PTHR16517:SF171 - TUBBY-LIKE F-BOX PROTEIN 10	0.3613	0.501812	0.922	0.456102	-0.7295	0.179311	-1.2902	0.121507
SCF_Cullin_Ligase	Cz07g13010	AT3G06380	(1 of 1) PTHR16517:SF173 - TUBBY-LIKE F-BOX PROTEIN 9	0.3909	0.822344	-3.0806	0.644473	-6.0892	0.272479	-2.6177	0.050555
Chloroplast_Function	Cz07g13020	AT5G20380	(1 of 1) PTHR11662:SF243 - ANION TRANSPORTER 6, CHLOROPLASTIC-RELATED	0.1234	0.882023	0.092	0.948235	-0.5908	0.261613	-0.5594	0.504284
Nuclear_Transport	Cz07g13080	AT3G16310	(1 of 1) K14313 - nuclear pore complex protein Nup53 (NUP35, NUP53)	0.108	0.42359	0.2844	0.390242	0.1399	0.360159	-0.0365	0.851245
RNA_Degradation	Cz07g13090	AT3G13300	(1 of 2) K12616 - enhancer of mRNA-decapping protein 4 (EDC4)	0.144	0.306689	0.0126	0.962782	-0.7484	0.010134	-0.617	0.030546
Glycine	Cz07g13110	AT2G13360	(1 of 1) 2.6.1.4//2.6.1.44//2.6.1.45//2.6.1.51 - glycine transaminase. / glycine aminotransferase. // alanine--glyoxylate transaminase. / alanine--glyoxylate aminotransferase. // serine--glyoxylate transaminase. / SGAT. // serine--pyruvate transaminase. / serine--pyruvate aminotransferase.	0.3403	0.179579	-0.1173	0.643127	-2.2397	0.005155	-1.782	0.016523
Chloroplast_Function	Cz07g13120	AT2G22480	(1 of 1) PTHR45770:SF23 - ATP-DEPENDENT 6-PHOSPHOFRUCTOKINASE 5, CHLOROPLASTIC	0.3535	0.302922	0.2174	0.44147	-1.8676	0.018548	-1.7315	0.039814
Pectin_Cell_Wall	Cz07g13170	AT2G01480	(1 of 1) PTHR31288:SF10 - O-FUCOSYLTRANSFERASE FAMILY PROTEIN	0.2297	0.309001	-0.3921	0.408427	-2.0097	0.008277	-1.3879	0.018686
Molybdenum_Cofactor	Cz07g13180	AT3G54280	(1 of 1) K15192 - TATA-binding protein-associated factor [EC:3.6.4.-] (BTAF1, MOT1)	0.1578	0.394347	-0.0882	0.763176	-0.8101	0.016037	-0.5642	0.040519
Glycolysis	Cz07g13190	AT3G56040	(1 of 1) PTHR11952:SF14 - UTP--GLUCOSE-1-PHOSPHATE URIDYLYLTRANSFERASE 3, CHLOROPLASTIC	-0.2139	0.349059	-0.0619	0.785903	0.0129	0.912761	-0.139	0.342519
Tyrosine	Cz07g13210	AT1G08030	(1 of 1) 2.8.2.20 - protein-tyrosine sulfotransferase. / tyrosylprotein sulfotransferase.	0.086	0.679921	-0.2125	0.481195	-0.2646	0.249403	0.0338	0.689655
Tyrosine	Cz07g13220	AT1G08030	(1 of 1) 2.8.2.20 - protein-tyrosine sulfotransferase. / tyrosylprotein sulfotransferase.	0.0333	0.855393	-0.1402	0.296891	-0.0493	0.530443	0.1241	0.351352
Ubiquitin_Proteasome	Cz07g13230	AT3G19950	(1 of 1) PTHR15710:SF208 - E3 UBIQUITIN-PROTEIN LIGASE RING1-LIKE	0.2534	0.560329	-0.0689	0.872989	-0.8327	0.065595	-0.5105	0.196264
Thioredoxin_Peroxiredoxin	Cz07g14050	AT3G08710	(1 of 1) PTHR10438:SF434 - THIOREDOXIN H9	-0.0015	0.991092	0.4825	0.187119	0.5345	0.052326	0.0505	0.516506
Cytokinin	Cz07g14060	AT1G67110	(1 of 1) PTHR24282:SF195 - CYTOKININ HYDROXYLASE	0.6199	0.143851	0.9472	0.103947	-0.1792	0.146546	-0.5065	0.038562
Leucine	Cz07g14070	AT5G42760	(1 of 1) PTHR43619:SF8 - LEUCINE CARBOXYL METHYLTRANSFERASE	0.0722	0.771786	0.5673	0.553985	-1.0105	0.068275	-1.5056	0.027666
RNA_Processing	Cz07g14080	AT1G55150	(1 of 1) PTHR47958:SF59 - DEAD-BOX ATP-DEPENDENT RNA HELICASE 20	-0.1824	0.306715	-0.0991	0.721538	-0.1582	0.27887	-0.2415	0.172398
Lutein	Cz07g14090	AT1G31800	(1 of 1) K15747 - beta-ring hydroxylase (LUT5, CYP97A3)	-3.029	0.362826	-5.9175	0.102613	2.1599	0.157604	5.0484	0.032019
mRNA_3_Processing	Cz07g14100	AT2G01730	(1 of 1) K13148 - integrator complex subunit 11 [EC:3.1.27.-] (CPSF3L, INTS11)	0.1945	0.338239	-0.0674	0.737475	-0.4128	0.047485	-0.1509	0.20111
Ubiquitin_Proteasome	Cz07g14110	AT3G13330	(1 of 1) K06699 - proteasome activator subunit 4 (PSME4)	0.2927	0.296136	0.1583	0.589457	-1.3505	0.007727	-1.2161	0.032219
Translation	Cz07g14120	AT1G13020	(1 of 1) PTHR32091:SF29 - EUKARYOTIC TRANSLATION INITIATION FACTOR 4B2	-0.2043	0.389341	0.2659	0.2893	0.0762	0.634061	-0.394	0.057618
Nuclear_Transport	Cz07g14160	AT4G37130	(1 of 1) K14307 - nucleoporin p58/p45 (NUPL1, NUP49)	0.1433	0.446475	0.1013	0.384326	-0.4238	0.067035	-0.3817	0.06171
DNA_Repair	Cz07g14170	AT5G44750	(1 of 1) K03515 - DNA repair protein REV1 (REV1)	0.4872	0.255394	-0.0632	0.893037	-1.3288	0.028573	-0.7784	0.058528
Vitamin_B2_Riboflavin	Cz07g15010	AT5G05320	(1 of 3) 1.14.13.113 - FAD-dependent urate hydroxylase. / urate hydroxylase.	0.4553	0.180945	0.2819	0.277685	-0.3739	0.026177	-0.2005	0.242375
Histone_Modification	Cz07g15030	AT5G22650	(1 of 19) 3.5.1.98 - histone deacetylase. / HDAC.	0.0567	0.671295	0.1223	0.73205	-0.2198	0.315072	-0.2854	0.092228
Chloroplast_Function	Cz07g15040	AT1G06680	(1 of 1) PTHR31407:SF6 - OXYGEN-EVOLVING ENHANCER PROTEIN 2-1, CHLOROPLASTIC-RELATED	-1.244	0.129561	-0.8235	0.069751	2.3246	0.024189	1.9042	0.025157
Calcium_Signalling	Cz07g15150	AT2G41100	(1 of 1) PTHR23050//PTHR23050:SF483 - CALCIUM BINDING PROTEIN // CALMODULIN-LIKE PROTEIN 12	-0.0076	0.921731	0.233	0.065595	-0.1013	0.039524	-0.3419	0.033119
One_Carbon_Metabolism	Cz07g15170	AT4G39460	(1 of 1) PTHR45667:SF9 - S-ADENOSYLMETHIONINE MITOCHONDRIAL CARRIER PROTEIN	-0.0461	0.747666	-0.2839	0.445614	-0.6696	0.024353	-0.4318	0.117857
Chloroplast_Function	Cz07g15180	AT4G04850	(1 of 1) PTHR46157:SF4 - K(+) EFFLUX ANTIPORTER 3, CHLOROPLASTIC	0.1331	0.527383	0.4654	0.152058	0.0106	0.945913	-0.3217	0.079281
Chaperone	Cz07g15190	AT2G30410	(1 of 1) K17292 - tubulin-specific chaperone A (TBCA)	0.3918	0.201336	0.0497	0.824733	-1.4384	0.010915	-1.0963	0.016066
Protein_Proteolysis	Cz07g15220	AT3G19170	(1 of 1) PTHR43016:SF7 - PRESEQUENCE PROTEASE 1, CHLOROPLASTIC_MITOCHONDRIAL	0.3585	0.133283	0.5792	0.095816	-0.3694	0.033977	-0.5902	0.041189
RNA_Processing	Cz07g15240	ATMG00860	(1 of 1) PTHR45643:SF7 - REVERSE TRANSCRIPTASE RNASE H-LIKE DOMAIN-CONTAINING PROTEIN	0.0449	0.77104	0.1535	0.863717	-0.7254	0.176708	-0.834	0.009929
Translation	Cz07g15250	AT2G37990	(1 of 1) K14852 - regulator of ribosome biosynthesis (RRS1)	-0.2163	0.401356	0.3501	0.212753	-0.1573	0.24304	-0.7237	0.049496
Translation	Cz07g16040	AT4G00100	(1 of 2) K02953 - small subunit ribosomal protein S13e (RP-S13e, RPS13)	-0.1138	0.43183	0.3197	0.231178	0.529	0.051617	0.0956	0.37267
RNA_Splicing	Cz07g16060	AT1G80070	(1 of 2) K12856 - pre-mRNA-processing factor 8 (PRPF8, PRP8)	0.2108	0.256173	0.0642	0.898658	-1.467	0.007667	-1.3204	0.023306
RNA_Processing	Cz07g16070	AT4G24270	(1 of 1) PF00076//PF05391 - RNA recognition motif (RRM_1) // Lsm interaction motif (Lsm_interact)	0.1981	0.258132	-0.0123	0.959431	-0.1358	0.338044	0.0746	0.414662
Redox_Metabolism	Cz07g16090	AT5G06580	(1 of 1) 1.1.2.4//1.1.3.15//1.1.5.12//1.1.99.14 - D-lactate dehydrogenase (cytochrome). / lactic acid dehydrogenase. // (S)-2-hydroxy-acid oxidase. / hydroxy-acid oxidase B. // D-lactate dehydrogenase (quinone). / D-lactate dehydrogenase (quinone). // glycolate dehydrogenase. / glycolic acid dehydrogenase.	0.5543	0.219803	-0.0376	0.966847	-2.2507	0.009465	-1.6587	0.025153
Chloroplast_Function	Cz07g16120	AT4G16155	(1 of 1) PTHR22912:SF207 - DIHYDROLIPOYL DEHYDROGENASE 2, CHLOROPLASTIC	0.0778	0.704616	0.1833	0.113395	-0.2164	0.167548	-0.3219	0.128683
Ubiquinone_Biosynthesis	Cz07g16140	AT5G08740	(1 of 1) K17872 - NADH:ubiquinone reductase (non-electrogenic) (ndh2)	0.1994	0.201336	0.2235	0.203929	-0.1226	0.043018	-0.1467	0.173591
Tyrosine	Cz07g16150	AT4G18460	(1 of 1) K07560 - D-tyrosyl-tRNA(Tyr) deacylase [EC:3.1.-.-] (dtd, DTD1)	-0.0316	0.868177	-0.0328	0.874629	-0.1926	0.2472	-0.1914	0.134451
Proline	Cz07g16170	AT1G76140	(1 of 1) PTHR42881:SF5 - PROLYL ENDOPEPTIDASE	0.17	0.350293	0.3902	0.152058	-0.2965	0.087301	-0.5168	0.031789
BCAA_Synthesis	Cz07g16190	AT1G03090	(1 of 1) K01968 - 3-methylcrotonyl-CoA carboxylase alpha subunit (E6.4.1.4A)	-0.0903	0.579525	0.034	0.853844	-1.7857	0.007727	-1.91	0.026009
Nuclear_Transport	Cz07g16200	AT1G24310	(1 of 1) K14308 - nuclear pore complex protein Nup54 (NUP54, NUP57)	0.0593	0.349059	0.1522	0.215786	-0.2217	0.01644	-0.3146	0.032857
Ubiquitin_Proteasome	Cz07g17010	AT5G59300	(1 of 3) K10575 - ubiquitin-conjugating enzyme E2 G1 (UBE2G1, UBC7)	0.2484	0.221622	0.3368	0.167183	-0.2605	0.042006	-0.3489	0.04359
Ubiquitin_Proteasome	Cz07g17020	AT2G32950	(1 of 1) PTHR44080:SF7 - E3 UBIQUITIN-PROTEIN LIGASE COP1	0.0776	0.456997	0.0805	0.564063	-0.4427	0.016808	-0.4455	0.027984
RNA_Splicing	Cz07g17030	AT3G04610	(1 of 1) PTHR10288:SF353 - FLOWERING LOCUS K HOMOLOGY DOMAIN	0.3624	0.25029	-0.0292	0.871808	-0.6691	0.016931	-0.2776	0.134585
Proline	Cz07g17050	AT1G68080	(1 of 1) 1.14.11.7 - procollagen-proline 3-dioxygenase. / prolyl 3-hydroxylase.	0.0057	0.964175	0.1358	0.296009	-0.1934	0.090003	-0.3235	0.029893
Redox_Metabolism	Cz07g17060	AT3G50560	(1 of 1) 1.1.1.330//1.1.1.62 - very-long-chain 3-oxoacyl-CoA reductase. / very-long-chain beta-ketoacyl-CoA reductase. // 17beta-estradiol 17-dehydrogenase. / estrogen 17-oxidoreductase.	0.1459	0.491351	-0.5265	0.093318	-0.47	0.045304	0.2024	0.152502
Vesicle_Trafficking	Cz07g17080	AT2G36360	(1 of 1) PTHR23244:SF467//PTHR23244:SF471//PTHR46647:SF1 - SAM DOMAIN-CONTAINING PROTEIN // KELCH REPEAT-CONTAINING PROTEIN 1-RELATED // RAB9 EFFECTOR PROTEIN WITH KELCH MOTIFS	0.1908	0.432941	0.0768	0.764828	-0.1591	0.345897	-0.0451	0.77264
Chaperone	Cz07g17090	AT1G07400	(1 of 1) IPR002068//IPR007052//IPR008978//IPR040612 - Alpha crystallin/Hsp20 domain // CS domain // HSP20-like chaperone // ArsA, HSP20-like domain	0.1988	0.898613	0.4682	0.759872	0.1381	0.904428	-0.1313	0.835238
Suberin_Wax_Biosynthesis	Cz07g17120	AT1G65290	(1 of 1) PTHR20863:SF71 - ACYL CARRIER PROTEIN 2, MITOCHONDRIAL	0.1237	0.389509	0.3856	0.11641	0.0443	0.467564	-0.2175	0.129164
Vesicle_Trafficking	Cz07g17130	AT5G16300	(1 of 1) PTHR31658:SF0 - CONSERVED OLIGOMERIC GOLGI COMPLEX SUBUNIT 1	0.2856	0.490472	-0.059	0.91163	-0.9357	0.069768	-0.5912	0.044647
Vesicle_Trafficking	Cz07g17140	AT5G16300	(1 of 1) PTHR31658:SF0 - CONSERVED OLIGOMERIC GOLGI COMPLEX SUBUNIT 1	0.1863	0.432289	-0.0151	0.937552	-0.6584	0.0259	-0.4569	0.092072
Leucine	Cz07g17150	AT5G11850	(1 of 1) K04424 - sterile alpha motif and leucine zipper containing kinase AZK (ZAK, MLTK)	0.0735	0.708183	-1.0655	0.219962	-2.0936	0.007667	-0.9546	0.036286
Vesicle_Trafficking	Cz07g17160	AT2G36360	(1 of 1) PTHR23244:SF467//PTHR23244:SF471//PTHR46647:SF1 - SAM DOMAIN-CONTAINING PROTEIN // KELCH REPEAT-CONTAINING PROTEIN 1-RELATED // RAB9 EFFECTOR PROTEIN WITH KELCH MOTIFS	-0.0595	0.942101	-0.3298	0.90825	-0.5143	0.574086	-0.244	0.855249
ABC_Transporter	Cz07g17170	AT4G25450	(1 of 1) K05655 - ATP-binding cassette, subfamily B (MDR/TAP), member 8 (ABCB8)	0.2444	0.392003	0.0486	0.719587	-0.2293	0.224794	-0.0335	0.781151
Molybdenum_Cofactor	Cz07g17180	AT5G66010	(1 of 1) PTHR13976:SF71 - RNA-BINDING (RRM_RBD_RNP MOTIFS) FAMILY PROTEIN	0.1646	0.446047	0.0099	0.986761	-1.9533	0.014739	-1.7986	0.03282
Cytoskeleton	Cz07g17190	AT5G50840	(1 of 1) PF09728 - Myosin-like coiled-coil protein (Taxilin)	0.3075	0.302922	0.0919	0.826948	-1.05	0.015466	-0.8344	0.041726
Protein_Sorting_Secretory	Cz07g17200	AT3G49100	(1 of 1) K03109 - signal recognition particle subunit SRP9 (SRP9)	-0.0795	0.673419	0.0172	0.913808	0.0639	0.555305	-0.0327	0.793473
Proline	Cz07g17240	AT1G57770	(1 of 2) 5.2.1.13 - prolycopene isomerase. / CRTISO.	0.3175	0.528763	0.0238	0.924936	0.1387	0.572678	0.4324	0.191952
Proline	Cz07g17250	AT1G06820	(1 of 1) K09835 - prolycopene isomerase (crtISO, crtH)	0.3377	0.276891	0.0699	0.632221	0.1342	0.310913	0.4021	0.022725
Mitochondrial_Transport	Cz07g17260	AT5G19760	(1 of 1) PTHR45618:SF9 - MITOCHONDRIAL 2-OXOGLUTARATE_MALATE CARRIER PROTEIN	0.474	0.220052	-0.1571	0.688457	0.258	0.389721	0.8891	0.032648
Purine	Cz07g17270	AT3G19630	(1 of 3) 2.1.1.192 - 23S rRNA (adenine(2503)-C(2))-methyltransferase. / 23S rRNA (adenine(2503)-C(2))-methyltransferase.	-0.0693	0.708133	0.1993	0.497987	-0.1978	0.290778	-0.4664	0.083096
Sterol_Lipid_Metabolism	Cz07g18010	AT5G59420	(1 of 1) PTHR10972:SF136 - OXYSTEROL-BINDING PROTEIN-RELATED PROTEIN 3C	0.217	0.285986	0.3943	0.286509	-1.1907	0.009718	-1.368	0.025703
Methionine	Cz07g18020	AT3G57050	(1 of 1) K01760 - cystathionine beta-lyase (metC)	-0.0233	0.901222	0.2236	0.388814	-0.3652	0.079783	-0.6121	0.062271
Protein_Sorting_Secretory	Cz07g18030	AT5G47490	(1 of 2) PF12931//PF12932 - Sec23-binding domain of Sec16 (Sec16_C) // Vesicle coat trafficking protein Sec16 mid-region (Sec16)	0.0625	0.669905	-0.087	0.678978	-0.2191	0.111457	-0.0695	0.591468
RNA_Splicing	Cz07g18040	AT1G06290	(1 of 2) PTHR10909:SF352 - PEROXISOMAL ACYL-COENZYME A OXIDASE 3	0.6158	0.596059	-0.3857	0.644473	-1.7397	0.20705	-0.7382	0.147833
Metal_Homeostasis	Cz07g18090	AT2G40300	(1 of 1) PTHR11431:SF75 - FERRITIN	2.2347	0.344459	-2.6475	0.644473	-5.4376	0.129239	-0.5554	0.731942
Metal_Homeostasis	Cz07g18100	AT2G40300	(1 of 1) PTHR11431:SF75 - FERRITIN	-0.5596	0.882	0	NA	-3.6266	0.482354	-4.1862	0.490096
Phospholipid_Biosynthesis	Cz07g18120	AT1G48300	(1 of 21) 2.3.1.20 - diacylglycerol O-acyltransferase. / diglyceride acyltransferase.	0.0081	0.965536	-0.5068	0.22052	-0.0243	0.91946	0.4906	0.058887
Sugar_Transport	Cz07g18160	AT3G19940	(1 of 1) PTHR23500:SF584 - SUGAR TRANSPORT PROTEIN 10	-0.2817	0.550653	-2.4208	0.36348	-0.1572	0.760834	1.9819	0.223125
Chaperone	Cz07g18220	AT2G20560	(1 of 1) PTHR24078:SF553 - DNAJ HOMOLOG SUBFAMILY B MEMBER 13	0.14	0.503201	0.7589	0.262878	-0.7115	0.046343	-1.3304	0.023358
Chaperone	Cz07g18280	AT5G48030	(1 of 1) PTHR43096:SF52 - DNAJ HOMOLOG 1, MITOCHONDRIAL-RELATED	0.1532	0.275877	0.6714	0.157896	0.0666	0.651566	-0.4516	0.033681
Methionine	Cz07g19060	AT5G64150	(1 of 1) 2.1.1.297 - peptide chain release factor N(5)-glutamine methyltransferase. / N(5)-glutamine S-adenosyl-L-methionine dependent methyltransferase.	0.1112	0.546449	0.1998	0.330107	0.0794	0.496014	-0.0091	0.947081
RNA_Splicing	Cz07g19110	AT3G46510	(1 of 1) PTHR23315:SF348 - U-BOX DOMAIN-CONTAINING PROTEIN 13	0.1373	0.377715	0.0892	0.383755	-0.2375	0.073379	-0.1894	0.096406
Translation	Cz07g19120	AT3G01740	(1 of 1) K17435 - large subunit ribosomal protein L54 (MRPL54)	0.0041	0.985456	0.2624	0.353859	0.1361	0.2139	-0.1222	0.522862
MEP_Isoprenoid	Cz07g19130	AT5G62790	(1 of 1) 1.1.1.267 - 1-deoxy-D-xylulose-5-phosphate reductoisomerase. / DXP-reductoisomerase.	-0.1284	0.199161	-0.1761	0.120935	0.294	0.007667	0.3417	0.020828
Wax_Cutin	Cz07g19170	AT3G59380	(1 of 1) 2.5.1.58//2.5.1.59//2.5.1.60 - protein farnesyltransferase. / FTase. // protein geranylgeranyltransferase type I. / type I protein geranyl-geranyltransferase. // protein geranylgeranyltransferase type II. / type II protein geranyl-geranyltransferase.	0.0881	0.415871	0.0546	0.666317	-0.1208	0.178062	-0.0873	0.263698
Ubiquitin_Proteasome	Cz07g19230	AT1G36340	(1 of 2) PTHR24067:SF370 - UBIQUITIN-CONJUGATING ENZYME	0.4989	0.326932	0.0542	0.904297	-0.5291	0.146038	-0.0844	0.638483
Protein_Kinase_Signalling	Cz07g20010	AT4G28540	(1 of 1) PTHR11909:SF493 - CASEIN KINASE 1-LIKE PROTEIN 6	0.0191	0.744302	0.1946	0.029675	-0.0205	0.44973	-0.196	0.053082
Vesicle_Trafficking	Cz07g20020	AT2G36360	(1 of 1) PTHR23244:SF467//PTHR23244:SF471//PTHR46647:SF1 - SAM DOMAIN-CONTAINING PROTEIN // KELCH REPEAT-CONTAINING PROTEIN 1-RELATED // RAB9 EFFECTOR PROTEIN WITH KELCH MOTIFS	0.1917	0.612403	-0.2197	0.271423	-0.8993	0.071303	-0.488	0.166167
N_Glycosylation	Cz07g20070	AT1G61790	(1 of 2) K12669 - oligosaccharyltransferase complex subunit gamma (OST3, OST6)	0.2193	0.228938	0.2188	0.1221	-0.3902	0.019764	-0.3896	0.029253
Translation	Cz07g20080	AT1G10840	(1 of 1) K03247 - translation initiation factor 3 subunit H (EIF3H)	-0.1652	0.461759	0.285	0.146006	0.3068	0.078422	-0.1434	0.295255
Ethylene	Cz07g20090	AT1G28370	(1 of 1) PTHR31677:SF204 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 11	-0.1093	0.597462	-0.4022	0.442366	-0.5643	0.140035	-0.2714	0.240216
Protein_Methylation	Cz07g20130	AT2G17900	(1 of 1) PTHR12197:SF285 - HISTONE-LYSINE N-METHYLTRANSFERASE ASHR1	0.1331	0.603077	-0.2005	0.640808	-0.4541	0.141134	-0.1205	0.527504
Translation	Cz07g20150	AT1G43860	(1 of 1) K14574 - ribosome maturation protein SDO1 (SDO1, SBDS)	0.1147	0.347299	0.1818	0.164112	0.0093	0.896846	-0.0578	0.336297
Chaperone	Cz07g20170	AT3G23990	(1 of 1) PTHR45633:SF3 - 60 KDA HEAT SHOCK PROTEIN, MITOCHONDRIAL	0.0354	0.331903	0.6557	0.247709	0.0852	0.665703	-0.535	0.009761
Protein_Kinase_Signalling	Cz07g20200	AT3G08720	(1 of 2) K04688 - p70 ribosomal S6 kinase (RPS6KB)	-0.3581	0.55385	-0.5901	0.222216	0.4621	0.323483	0.6941	0.054897
Cardiolipin_Metabolism	Cz07g20210	AT2G35680	(1 of 1) PTHR46274:SF9 - PHOSPHATIDYLGLYCEROPHOSPHATE PHOSPHATASE PTPMT1	0.11	0.307243	0.1718	0.383514	0.1921	0.184118	0.1303	0.180665
Inositol	Cz07g21010	AT4G08170	(1 of 1) PTHR14217:SF39 - INOSITOL-TETRAKISPHOSPHATE 1-KINASE 3	-0.0605	0.795632	0.2134	0.467101	0.1302	0.474542	-0.1438	0.435816
One_Carbon_Metabolism	Cz07g21040	AT2G26810	(1 of 2) PTHR23108:SF0 - METHYLTRANSFERASE-LIKE PROTEIN 22	0.4073	0.330533	-0.0538	0.873596	-0.663	0.038113	-0.2018	0.471354
