Pathway	GeneID	Symbol	Description	HL_vs_LL_1mM_log2FC	HL_vs_LL_1mM_padj	HL_vs_LL_10mM_log2FC	HL_vs_LL_10mM_padj	HighN_vs_LowN_HL_log2FC	HighN_vs_LowN_HL_padj	HighN_vs_LowN_LL_log2FC	HighN_vs_LowN_LL_padj
RNA_Splicing	Cz12g09140	AT5G47010	(1 of 1) PTHR10887:SF364 - REGULATOR OF NONSENSE TRANSCRIPTS 1	0.2418	0.255394	-0.1929	0.644473	-0.6623	0.024124	-0.2277	0.342323
Chloroplast_Function	Cz12g09150	AT4G00370	(1 of 1) PTHR11662:SF255 - ANION TRANSPORTER 2, CHLOROPLASTIC-RELATED	0.1635	0.254182	0.4362	0.114499	0.0023	0.94614	-0.2704	0.044169
Protein_Kinase_Signalling	Cz12g09190	AT5G62310	(1 of 1) PTHR24356:SF395 - SERINE_THREONINE-PROTEIN KINASE PKGA-RELATED	0.2282	0.739592	-0.6958	0.71115	-2.8988	0.101398	-1.9748	0.040735
Redox_Metabolism	Cz12g09220	AT2G21890	(1 of 2) PTHR42683:SF44 - CINNAMYL ALCOHOL DEHYDROGENASE 2-RELATED	-0.0552	0.908658	0.1206	0.818567	-1.0108	0.067707	-1.1866	0.077289
MFS_Transport	Cz12g10020	AT1G78130	(1 of 1) PTHR23505:SF72 - MAJOR FACILITATOR SUPERFAMILY (MFS) PROFILE DOMAIN-CONTAINING PROTEIN	0.3626	0.363898	-0.4678	0.249712	-0.7296	0.063352	0.1009	0.392006
Chaperone	Cz12g10040	AT3G47940	(1 of 1) PTHR24078:SF524 - DNAJ HEAT SHOCK FAMILY PROTEIN	0.0602	0.916035	-0.3484	0.50793	-0.0931	0.821788	0.3155	0.33571
Protein_Kinase_Signalling	Cz12g10060	AT1G07110	(1 of 1) K01103 - 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 3&#160 (PFKFB3)	0.1067	0.327602	-0.2148	0.586754	-0.7436	0.066564	-0.4221	0.027219
Terpenoid	Cz12g10090	AT2G02500	(1 of 1) 2.7.7.60 - 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase. / MEP cytidylyltransferase.	-5e-04	0.995983	0.3131	0.187711	0.4896	0.029488	0.1759	0.249888
Ethylene	Cz12g10100	AT5G36880	(1 of 1) K01895 - acetyl-CoA synthetase (ACSS, acs)	0.6883	0.336324	-1.1694	0.150103	-2.5626	0.04091	-0.705	0.276975
Beta_Carotene	Cz12g10170	AT3G10230	(1 of 1) K06443 - lycopene beta-cyclase (lcyB, crtL1, crtY)	0.3182	0.20845	0.3993	0.093318	-0.1921	0.01995	-0.2732	0.049272
