og_id	c00	c01	c02	c03	c04	c05	c06	c07	c08	c09	c10	c11	c12	c13	c14	c15
37TCY	0.2341	0.2096	0.4015	0.2611	0.1987	0.2866	0.3012	0.4755	0.2994	0.3291	0.3185	0.5673	0.0489	0.4794	0.0432	0.1072
37TCZ	0.0015	0.0027	0.0363	0.0083	0.5793	0.0518	0.0030	0.0142	0.0268	0.0857	0.0084	0.5358	0.2294	0.0032	0.0021	0.0864
37TD0	2.3556	2.0693	1.8949	1.8834	1.1593	2.0070	2.2137	2.5772	1.8927	2.0117	2.4565	0.3059	0.7209	2.2283	1.4283	1.1126
37TD1	1.2053	0.4205	0.3943	0.5523	0.2538	0.4645	0.2913	0.8813	0.3608	0.5790	0.7719	0.1880	0.0256	0.4807	0.1126	0.0605
37TD2	3.8348	2.3667	2.6673	2.3354	1.2680	2.0566	2.1954	3.3375	2.5946	2.5771	3.4803	0.7411	2.0832	2.5607	1.2176	1.4072
37TD3	0.1357	0.4222	0.5817	0.5156	0.5184	0.7466	0.9645	0.8917	0.5142	0.6760	0.2895	0.0953	0.0526	0.7830	0.5723	0.3207
37TD4	1.8765	1.1990	0.9298	0.8695	0.4904	0.7073	0.5778	1.9192	1.0802	1.1878	1.7197	0.4548	0.0914	1.0132	0.3022	0.6836
37TD5	0.2364	1.4911	1.2655	1.3386	1.1726	1.7984	2.1011	1.4979	1.3150	1.4364	0.4446	0.3818	0.0627	1.4261	2.9762	0.8832
37TD6	1.0473	0.9212	0.5186	0.5236	0.2311	0.6977	0.6483	0.7406	0.7948	0.7912	1.3157	0.0874	0.8647	0.9285	0.0837	0.3786
37TD7	0.2756	0.2069	0.1116	0.2369	0.1093	0.2049	0.4147	0.1840	0.1610	0.2055	0.4015	0.0799	0.0153	0.2667	0.1298	0.0961
37TD8	0.1284	0.1299	0.0373	0.0732	0.0405	0.0550	0.0467	0.0660	0.1116	0.1258	0.1289	0.0223	0.0000	0.0944	0.0973	0.0512
37TD9	2.0555	1.1944	1.4203	1.1940	0.5143	1.1056	0.9967	1.5212	1.1852	1.1546	1.6976	1.6320	1.2332	1.3865	0.3012	0.2196
37TDA	2.3683	1.3566	1.1871	1.1738	0.3137	0.8509	0.8558	1.0388	1.1612	0.9619	1.5556	0.3369	1.4383	1.2432	0.1336	0.7320
37TDB	0.4292	1.0119	1.1344	1.1772	0.9975	1.6699	1.3757	1.1754	1.0118	1.1825	0.8399	0.2260	0.9580	1.2374	0.9731	0.2709
37TDC	0.3286	0.1823	0.1371	0.2196	0.0491	0.3404	0.2628	0.2942	0.1485	0.2655	0.1983	0.1010	0.0025	0.3206	0.0154	0.0279
37TDD	0.0850	0.1117	0.8169	0.4077	0.5087	0.4059	0.4971	1.2584	0.1554	0.2620	0.0976	0.2158	0.0134	0.2517	0.3426	0.3705
37TDE	1.1551	0.9708	0.8046	1.2004	0.7245	1.6530	1.3460	1.2495	0.8882	1.0686	1.0367	0.1744	0.1704	1.6056	1.1523	0.8809
37TDF	1.6125	1.1914	2.0946	2.4613	0.6056	1.1306	2.3851	1.3844	1.6892	1.1769	1.6194	0.6538	1.8253	1.3686	0.4973	0.4899
37TDG	0.6726	0.4570	0.5476	0.6606	0.1688	0.5415	0.5958	0.5660	0.4776	0.4915	0.6526	0.0731	0.1372	0.5410	0.0294	0.1503
37TDH	1.4422	1.8099	1.4881	1.9882	0.9167	1.8213	2.3800	1.9767	1.6440	1.5917	1.3810	0.5878	1.8023	2.0039	1.2554	0.9227
37TDI	0.0576	0.0421	0.0566	0.0812	0.0517	0.2788	0.1342	0.0449	0.0374	0.1360	0.0596	0.0257	0.0080	0.7034	0.0305	0.0368
37TDJ	0.9040	0.5574	0.7105	0.4491	0.1693	0.5690	0.2468	0.9133	0.5382	0.5626	0.4641	0.1181	0.0684	0.5632	0.0813	0.5532
37TDK	2.7689	2.4063	3.2276	2.6244	1.2679	3.2633	2.7553	3.2586	2.7614	3.2621	3.0702	0.7887	3.9230	3.8804	1.7085	0.8958
37TDM	0.1195	0.8218	0.4808	0.3429	0.4152	0.4284	0.5398	0.3888	0.7324	0.5809	0.2027	0.8901	0.0330	0.8159	1.3202	0.1791
37TDN	0.0205	0.0256	0.0616	0.0310	0.2282	0.0510	0.0213	0.0872	0.0318	0.0450	0.0209	0.3441	0.1818	0.0302	0.0787	0.1103
37TDP	3.6253	2.1039	1.8109	1.7327	0.6414	1.5623	1.4371	2.6100	1.9387	2.0120	3.2220	0.4564	0.7710	1.8557	0.3720	1.4478
37TDQ	0.4973	0.3561	0.1737	0.2412	0.1160	0.2670	0.2984	0.4129	0.2728	0.2902	0.2654	0.0160	0.0314	0.2983	0.5111	0.0992
37TDR	0.0064	0.0113	0.0601	0.0159	1.2222	0.0788	0.0071	0.0507	0.0423	0.0860	0.0068	1.0723	0.4588	0.0084	0.0616	0.1123
37TDS	0.2761	0.9187	0.7095	0.9230	0.8701	1.3321	1.2224	0.8006	0.7549	1.0590	0.6458	0.3338	0.0075	1.0973	1.0698	0.3441
37TDT	0.6176	0.4252	0.2076	0.2057	0.1482	0.2486	0.1587	0.4042	0.3034	0.3239	0.1662	0.0057	0.0011	0.3897	0.5354	0.1168
37TDU	0.2068	0.1046	0.0742	0.1162	0.0543	0.1356	0.1096	0.0913	0.1048	0.1582	0.2132	0.0114	0.0061	0.1513	0.0324	0.0123
37TDV	1.6226	0.8811	0.7543	1.0806	0.5630	1.1983	0.9409	1.4019	0.8038	1.1288	1.5386	0.4296	0.0992	1.2414	0.3695	0.2755
