experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 21	CHLRE_03g162800v5	NULL	NULL	tpms	0.3	Cre03.g162800	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_03g162800v5	NULL	NULL	tpms	0.1	Cre03.g162800	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_03g162800v5	NULL	NULL	tpms	0.1	Cre03.g162800	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_03g162800v5	NULL	NULL	tpms	0	Cre03.g162800	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_03g205100v5	NULL	NULL	tpms	15	Cre03.g205100	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_03g205100v5	NULL	NULL	tpms	0.1	Cre03.g205100	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_03g205100v5	NULL	NULL	tpms	2	Cre03.g205100	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_03g205100v5	0.2734	8	tpms	53	Cre03.g205100	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_03g205100v5	NULL	NULL	tpms	5	Cre03.g205100	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_03g205100v5	NULL	NULL	tpms	1	Cre03.g205100	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_03g205100v5	NULL	NULL	tpms	0.1	Cre03.g205100	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_03g205100v5	NULL	NULL	tpms	0.1	Cre03.g205100	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_04g223100v5	NULL	NULL	tpms	29		g1
E-GEOD-62671	zeitgeber time 12	CHLRE_04g223100v5	NULL	NULL	tpms	3		g2
E-GEOD-62671	zeitgeber time 15	CHLRE_04g223100v5	NULL	NULL	tpms	78		g3
E-GEOD-62671	zeitgeber time 18	CHLRE_04g223100v5	0.2769	9	tpms	281		g4
E-GEOD-62671	zeitgeber time 21	CHLRE_04g223100v5	NULL	NULL	tpms	17		g5
E-GEOD-62671	zeitgeber time 3	CHLRE_04g223100v5	NULL	NULL	tpms	7		g6
E-GEOD-62671	zeitgeber time 6	CHLRE_04g223100v5	NULL	NULL	tpms	5		g7
E-GEOD-62671	zeitgeber time 9	CHLRE_04g223100v5	NULL	NULL	tpms	26		g8
E-GEOD-62671	zeitgeber time 0	CHLRE_16g688414v5	NULL	NULL	tpms	2	Cre16.g688414	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_16g688414v5	NULL	NULL	tpms	2	Cre16.g688414	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_16g688414v5	NULL	NULL	tpms	3	Cre16.g688414	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_16g688414v5	0.2774	10	tpms	9	Cre16.g688414	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_16g688414v5	NULL	NULL	tpms	1	Cre16.g688414	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_16g688414v5	NULL	NULL	tpms	1	Cre16.g688414	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_16g688414v5	NULL	NULL	tpms	1	Cre16.g688414	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_16g688414v5	NULL	NULL	tpms	3	Cre16.g688414	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_01g055151v5	NULL	NULL	tpms	0.8	Cre01.g055151	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_01g055151v5	NULL	NULL	tpms	0.6	Cre01.g055151	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_01g055151v5	NULL	NULL	tpms	1	Cre01.g055151	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_01g055151v5	0.2851	11	tpms	4	Cre01.g055151	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_01g055151v5	NULL	NULL	tpms	0.8	Cre01.g055151	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_01g055151v5	NULL	NULL	tpms	0.5	Cre01.g055151	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_01g055151v5	NULL	NULL	tpms	0.3	Cre01.g055151	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_01g055151v5	NULL	NULL	tpms	0.3	Cre01.g055151	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_12g492600v5	NULL	NULL	tpms	1	Cre12.g492600	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_12g492600v5	NULL	NULL	tpms	0.2	Cre12.g492600	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_12g492600v5	NULL	NULL	tpms	0.3	Cre12.g492600	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_12g492600v5	0.297	12	tpms	9	Cre12.g492600	g4
