experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 9	CHLRE_08g384650v5	NULL	NULL	fpkms	0.9	Cre08.g384650	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_03g205100v5	NULL	NULL	fpkms	7	Cre03.g205100	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_03g205100v5	NULL	NULL	fpkms	0.1	Cre03.g205100	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_03g205100v5	NULL	NULL	fpkms	0.8	Cre03.g205100	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_03g205100v5	0.2502	6	fpkms	29	Cre03.g205100	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_03g205100v5	NULL	NULL	fpkms	3	Cre03.g205100	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_03g205100v5	NULL	NULL	fpkms	0.7	Cre03.g205100	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_03g205100v5	NULL	NULL	fpkms	0.1	Cre03.g205100	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_03g205100v5	NULL	NULL	fpkms	0.1	Cre03.g205100	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_12g492600v5	NULL	NULL	fpkms	0.7	Cre12.g492600	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_12g492600v5	NULL	NULL	fpkms	0.1	Cre12.g492600	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_12g492600v5	NULL	NULL	fpkms	0.2	Cre12.g492600	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_12g492600v5	0.2585	7	fpkms	5	Cre12.g492600	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_12g492600v5	NULL	NULL	fpkms	0.6	Cre12.g492600	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_12g492600v5	NULL	NULL	fpkms	0.9	Cre12.g492600	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_12g492600v5	NULL	NULL	fpkms	1	Cre12.g492600	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_12g492600v5	NULL	NULL	fpkms	1	Cre12.g492600	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_03g162800v5	NULL	NULL	fpkms	0.1	Cre03.g162800	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_03g162800v5	NULL	NULL	fpkms	0.1	Cre03.g162800	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_03g162800v5	NULL	NULL	fpkms	0.4	Cre03.g162800	g3
