GeneID	Gene Name	g1	g2	g3	g4	g5	g6	g7	g8
CHLRE_07g313850v5		20,20,21,21,21	4,4,5,5,5	2,3,3,3,3	6,6,7,7,7	17,17,17,17,18	14,14,14,14,15	16,17,17,18,18	5,5,5,6,6
CHLRE_07g313900v5		19,19,19,19,19	4,4,4,5,5	4,4,4,4,4	9,9,9,9,9	16,16,16,17,17	14,15,15,15,15	13,14,14,14,15	4,4,5,5,5
CHLRE_07g313950v5		7,7,7,7,7	5,5,5,5,5	2,2,2,2,3	5,6,6,6,6	8,8,8,8,8	8,8,8,9,9	8,9,9,9,9	7,7,7,8,8
CHLRE_07g314000v5		6,6,6,6,6	3,4,4,4,4	5,5,5,5,5	5,5,5,5,5	10,10,11,11,11	4,4,4,4,5	5,5,6,6,6	2,2,2,2,2
CHLRE_07g314050v5		10,10,10,10,10	9,9,9,10,10	6,6,6,6,6	8,8,8,8,8	14,14,15,15,15	13,13,14,14,14	15,15,15,15,15	16,17,17,17,17
CHLRE_07g314100v5		98,100,101,102,104	33,35,38,41,44	3,3,3,3,3	23,24,25,26,27	10,11,12,12,13	112,115,117,120,123	118,125,132,139,146	67,70,72,75,78
CHLRE_07g314150v5		147,149,151,153,155	15,15,15,15,15	39,39,40,40,40	183,186,189,192,195	75,76,77,77,78	101,102,103,104,105	74,76,78,80,81	42,45,47,49,52
CHLRE_07g314200v5		10,11,11,11,11	16,18,19,21,22	15,15,15,15,16	11,11,11,12,12	14,14,14,15,15	14,14,15,15,15	18,18,19,20,20	26,27,27,28,29
CHLRE_07g314250v5		14,14,15,16,17	1,1,1,1,1	2,2,2,2,3	3,4,4,4,4	14,14,14,14,14	12,12,13,13,14	19,20,20,20,21	9,9,10,10,10
CHLRE_07g314300v5		27,27,28,28,28	34,36,37,39,40	28,29,30,30,31	17,18,19,20,20	39,41,42,43,44	27,28,28,28,29	35,35,35,35,35	21,21,22,22,22
CHLRE_07g314351v5		2,2,2,3,3	3,3,3,3,3	2,2,2,2,3	4,4,4,4,4	4,4,4,4,4	2,2,2,2,2	1,1,1,1,1	2,2,2,2,3
CHLRE_07g314400v5		3,3,3,4,4	2,2,2,2,2	2,2,2,2,2	3,3,3,3,3	2,2,2,2,2	3,3,3,3,3	4,4,4,4,4	3,3,4,4,4
CHLRE_07g314450v5		6,6,6,6,6	3,3,3,3,3	2,2,2,2,2	7,7,7,7,7	5,5,6,6,6	5,5,6,6,6	7,7,7,7,7	3,3,3,3,3
CHLRE_07g314500v5		6,6,6,6,6	3,3,3,4,4	1,1,1,1,1	4,4,4,4,4	7,8,8,8,8	6,6,6,6,6	8,8,8,8,8	6,6,6,6,6
CHLRE_07g314550v5		48,49,50,51,52	18,18,18,19,19	5,6,6,6,7	38,39,40,40,41	8,8,9,9,10	56,57,58,59,59	56,59,62,65,68	45,46,48,50,52
CHLRE_07g314600v5		21,21,21,21,22	14,15,15,15,15	17,18,18,18,19	31,32,32,33,33	13,13,13,14,14	18,19,20,21,22	19,19,20,20,20	22,23,23,24,25
CHLRE_07g314650v5		39,39,39,39,39	182,183,183,184,184	94,95,96,97,98	22,22,22,22,23	88,89,91,92,94	61,61,61,62,62	73,76,80,83,87	91,93,95,97,99
CHLRE_07g314676v5		0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
CHLRE_07g314700v5		2,2,2,2,2	5,5,5,5,5	0.1,0.1,0.1,0.1,0.2	0.2,0.2,0.2,0.2,0.2	0.4,0.4,0.5,0.5,0.6	5,5,5,5,5	5,6,6,7,8	8,8,8,8,8
CHLRE_07g314751v5		0.3,0.4,0.4,0.4,0.4	0.1,0.1,0.2,0.2,0.2	0.1,0.1,0.1,0.1,0.1	0.1,0.2,0.2,0.2,0.2	0.5,0.5,0.5,0.5,0.6	0.3,0.3,0.4,0.4,0.5	0.4,0.4,0.5,0.6,0.6	0.3,0.3,0.3,0.3,0.3
CHLRE_07g314800v5		10,10,10,10,10	2,3,3,3,3	3,3,3,3,3	4,4,4,4,4	7,7,7,7,7	6,6,7,7,7	7,7,7,8,8	3,3,3,3,3
CHLRE_07g314833v5		0,0.1,0.1,0.2,0.2	0,0,0,0,0	0,0,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0,0,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0
CHLRE_07g314866v5		1,1,1,1,1	0.8,0.8,0.8,0.8,0.9	0,0,0,0,0	0.7,0.7,0.7,0.7,0.7	0,0.1,0.1,0.1,0.1	1,1,1,1,1	0.7,0.9,1,1,1	0.8,0.9,0.9,0.9,1
CHLRE_07g314900v5		68,70,72,74,76	40,42,44,46,48	4,4,4,4,4	21,22,22,22,22	5,6,6,6,7	82,83,84,85,85	81,89,96,104,111	67,69,71,73,75
CHLRE_07g314950v5		43,45,46,48,49	36,37,39,40,42	14,15,15,16,16	27,28,28,28,28	26,27,27,27,28	54,54,55,55,56	51,52,53,54,55	50,51,51,52,52
CHLRE_07g315000v5		19,19,19,19,19	26,26,26,26,26	23,23,24,25,26	18,18,18,18,18	29,30,31,32,33	18,19,20,21,22	21,22,22,23,23	22,22,23,23,24
CHLRE_07g315050v5		2,2,2,2,2	2,2,2,2,2	2,2,2,2,2	2,2,2,2,2	0.5,0.5,0.6,0.6,0.6	0.6,0.7,0.8,0.9,0.9	1,1,1,1,1	1,1,1,1,1
CHLRE_07g315100v5		63,66,69,72,76	53,54,55,57,58	45,48,51,54,57	45,45,46,46,46	80,83,85,88,90	52,53,54,55,56	55,55,55,55,55	41,41,41,41,41
CHLRE_07g315150v5		131,133,135,137,139	157,161,165,169,173	130,131,131,131,131	210,214,218,222,226	159,161,162,163,164	148,148,149,149,150	136,137,138,140,141	153,154,154,154,155
CHLRE_07g315200v5		17,17,17,17,17	21,23,24,25,27	7,8,8,8,8	13,13,14,14,15	10,10,10,10,10	18,18,19,19,20	17,18,19,21,22	24,24,24,24,24
CHLRE_07g315250v5		0.1,0.1,0.1,0.1,0.2	0.2,0.2,0.2,0.3,0.3	0.1,0.1,0.1,0.1,0.1	0.1,0.1,0.1,0.1,0.2	0,0,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0.1,0.1	0,0,0.1,0.1,0.2
CHLRE_07g315300v5		3,3,3,3,4	14,15,15,15,15	5,5,5,5,5	3,3,3,3,4	3,3,3,3,4	4,4,4,4,5	4,4,4,4,4	7,8,8,9,9
CHLRE_07g315326v5		0,0,0,0,0.1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0.1	0,0,0,0,0	0,0,0,0,0	0,0,0,0.1,0.1	0,0,0.1,0.1,0.1
CHLRE_07g315350v5		28,28,29,30,30	53,56,60,64,68	69,69,70,71,72	32,33,34,35,37	38,39,40,40,41	29,29,29,29,29	47,48,48,49,49	76,78,80,82,84
CHLRE_07g315400v5		16,16,17,17,17	16,17,17,17,18	4,4,4,5,5	9,9,9,10,10	6,6,6,6,6	16,17,18,19,20	20,22,24,26,28	18,19,19,19,19
CHLRE_07g315432v5		15,15,16,16,16	9,10,10,10,10	7,8,8,8,8	10,10,10,10,10	14,14,15,15,15	11,12,12,13,13	9,9,9,9,9	4,4,5,5,6
CHLRE_07g315450v5		14,14,15,15,16	18,18,18,19,19	11,11,12,12,12	13,13,13,13,13	17,17,18,18,19	15,15,15,15,15	13,13,13,13,13	16,16,17,17,17
CHLRE_07g315500v5		8,8,8,9,9	11,12,12,13,13	5,5,6,6,6	4,4,4,4,4	12,13,13,13,13	13,13,13,13,14	13,13,13,13,13	12,12,12,12,12
CHLRE_07g315550v5		17,17,17,17,17	26,26,26,26,26	28,29,29,30,31	8,8,8,9,9	22,22,23,23,23	9,9,9,9,10	10,10,10,10,10	7,7,7,8,8
CHLRE_07g315600v5		10,10,10,11,11	9,9,9,9,9	7,7,7,8,8	10,10,10,10,11	16,16,16,16,16	12,12,12,12,13	10,10,10,11,11	7,8,8,8,8
CHLRE_07g315650v5		2,2,2,2,2	3,3,4,4,4	2,3,3,3,3	2,3,3,3,3	4,4,4,4,4	1,2,2,2,2	1,1,1,2,2	2,2,2,3,3
CHLRE_07g315700v5		32,33,34,35,37	31,32,33,33,34	52,54,56,58,60	48,48,48,48,48	46,47,48,49,50	27,28,29,30,30	39,40,40,41,42	28,29,29,30,30
CHLRE_07g315750v5		135,138,140,142,145	292,295,299,302,305	256,263,271,279,287	111,111,112,113,113	236,238,240,242,244	147,148,149,149,150	192,194,196,198,201	181,183,186,188,190
CHLRE_07g315850v5		3,3,3,4,4	2,2,2,2,2	2,2,2,3,3	2,2,2,2,2	0.9,0.9,0.9,1,1	2,2,2,2,2	4,4,4,4,4	4,4,5,5,5
CHLRE_07g315900v5		49,49,50,50,50	88,89,90,91,91	47,49,50,51,53	33,34,34,35,35	59,60,62,63,65	67,68,68,68,69	52,53,54,56,57	87,89,90,92,94
CHLRE_07g315950v5		20,21,21,22,22	14,16,17,19,20	21,21,22,22,22	17,18,19,20,21	27,28,28,28,29	19,19,19,20,20	15,15,16,16,16	17,17,18,19,20
CHLRE_07g316000v5		217,223,228,234,239	588,594,600,605,611	386,387,388,389,389	239,244,250,255,260	294,297,301,304,308	266,267,269,270,271	205,212,219,227,234	512,518,524,529,535
CHLRE_07g316050v5		33,34,34,35,36	36,38,41,43,46	48,51,54,57,60	42,43,44,46,47	48,50,52,54,56	25,25,25,26,26	23,24,25,26,27	23,24,24,25,26
CHLRE_07g316100v5		5,5,6,6,6	11,11,12,12,12	8,8,8,8,8	3,3,4,4,4	9,10,10,10,10	5,6,6,6,6	8,8,8,8,8	7,7,7,8,8
