Pathway	GeneID	Symbol	Description	wtns_vs_wtc_log2FC	wtns_vs_wtc_padj	vipns_vs_vipc_log2FC	vipns_vs_vipc_padj	vipc_vs_wtc_log2FC	vipc_vs_wtc_padj	vipns_vs_wtns_log2FC	vipns_vs_wtns_padj
Protein_Kinase_Signalling	Cre16.g694950	Cre16.g694950	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding MAPK cascade	0.5406	0.765014	-0.3123	0.508303	1.0605	0.627762	0.2076	0.797242
Fatty_Acid	Cre16.g695050	Cre16.g695050	oxidoreductase activity oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor NAD+ binding fatty acid metabolic process lipid metabolic process isomerase activity catalytic activity lyase activity peroxisome fatty acid beta-oxidation 3-hydroxyacyl-CoA dehydrogenase (NAD+) activity delta(3)-delta(2)-enoyl-CoA isomerase activity enoyl-CoA hydratase activity 3-hydroxybutyryl-CoA epimerase activity	-1.664	0.763672	-2.0555	0.134562	0.6231	0.627762	0.2317	0.808218
Fatty_Acid	Cre16.g695100	Cre16.g695100	oxidoreductase activity, acting on the CH-CH group of donors flavin adenine dinucleotide binding fatty acid beta-oxidation acyl-CoA dehydrogenase activity oxidoreductase activity peroxisome	-0.9704	0.765014	-1.8506	0.157012	0.9429	0.627762	0.0627	0.947322
Serine	Cre16.g695218	Cre16.g695218	ATP binding protein kinase activity protein phosphorylation protein serine/threonine kinase activity signal transduction	1.8825	0.763672	0.7702	0.492521	1.7453	0.630269	0.633	0.606213
Pyrimidine	Cre16.g695450	Cre16.g695450	RNA binding nucleic acid binding mRNA processing RNA splicing U2-type prespliceosome spliceosomal complex assembly pre-mRNA 3'-splice site binding U2AF complex commitment complex nuclear speck poly-pyrimidine tract binding	0.2389	0.922217	-0.0651	0.901649	0.4903	0.637243	0.1863	0.886574
Translation	Cre16.g695600	Cre16.g695600	ribosome binding regulation of translational fidelity cytosol Hsp70 protein binding	-0.2604	0.923999	-0.4249	0.347062	0.5495	0.654504	0.385	0.67004
Translation	Cre17.g696250	Cre17.g696250	RNA binding translation initiation factor activity translation translational initiation protein binding mRNA binding eukaryotic translation initiation factor 4F complex	0.5468	0.820244	-0.4539	0.489771	0.8385	0.633067	-0.1622	0.861059
Translation	Cre17.g696300	Cre17.g696300	nucleic acid binding ubiquitin protein ligase activity rescue of stalled ribosome zinc ion binding protein ubiquitination ribosome binding	-0.3309	0.828157	-0.2502	0.605184	0.3501	0.637243	0.4307	0.66768
Transcription	Cre17.g696750	Cre17.g696750	regulation of DNA-templated transcription DNA-binding transcription factor activity DNA binding nucleus	0.5075	0.769193	1.3	0.338896	1.4692	0.627762	2.2618	0.606213
Protein_Kinase_Signalling	Cre17.g696900	Cre17.g696900	ATP binding protein kinase activity protein phosphorylation carbohydrate binding	3.7254	0.763672	4.4931	0.210446	-0.4679	0.860861	0.2997	0.710377
Protein_Kinase_Signalling	Cre17.g696950	Cre17.g696950	ATP binding protein kinase activity protein phosphorylation carbohydrate binding	0.468	0.784276	2.073	0.136126	-0.8708	0.631785	0.7342	0.606213
Cysteine	Cre17.g697300	Cre17.g697300	proteolysis cysteine-type peptidase activity cysteine-type endopeptidase activity extracellular space lysosome	-1.6118	0.765014	-1.6518	0.290291	0.136	0.914922	0.096	0.945489
Translation	Cre17.g697450	Cre17.g697450	cytoplasm translation initiation factor activity eukaryotic translation initiation factor 3 complex formation of cytoplasmic translation initiation complex cytoplasmic translational initiation translation translational initiation eukaryotic 43S preinitiation complex eukaryotic 48S preinitiation complex	-0.3835	0.841146	-0.5504	0.557495	0.6278	0.637243	0.4609	0.646581
RNA_Processing	Cre17.g697624	Cre17.g697624	nucleus RNA binding cytoplasm rRNA processing nucleolus nuclear exosome (RNase complex) U4 snRNA 3'-end processing poly(A)-dependent snoRNA 3'-end processing cytoplasmic exosome (RNase complex) rRNA catabolic process nuclear mRNA surveillance exosome (RNase complex)	-0.8774	0.765014	-0.195	0.801134	0.2951	0.753012	0.9775	0.606213
Serine	Cre17.g697650	Cre17.g697650	serine-type endopeptidase activity serine-type peptidase activity proteolysis hydrolase activity peptidase activity	-0.4875	0.765014	0.058	0.944232	0.4713	0.634893	1.0168	0.606213
Serine	Cre17.g698150	Cre17.g698150	nucleus cytoplasm cyclin-dependent protein kinase holoenzyme complex G1/S transition of mitotic cell cycle cyclin-dependent protein serine/threonine kinase regulator activity	2.2199	0.763672	1.4443	0.250333	1.2323	0.627762	0.4567	0.66768
Ubiquitin_Proteasome	Cre17.g698200	Cre17.g698200	SUMO transferase activity double-strand break repair via homologous recombination Smc5-Smc6 complex transferase activity nucleus protein sumoylation SUMO ligase activity	-1.6389	0.763672	-1.3081	0.285522	0.4245	0.690082	0.7553	0.634822
Folate	Cre17.g698450	Cre17.g698450	catalytic activity methylenetetrahydrofolate dehydrogenase (NADP+) activity oxidoreductase activity hydrolase activity cytoplasm one-carbon metabolic process cytosol methenyltetrahydrofolate cyclohydrolase activity tetrahydrofolate interconversion	-1.6495	0.763672	-1.0267	0.252963	0.7597	0.627762	1.3825	0.606213
Serine	Cre17.g698550	Cre17.g698550	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus cytoplasm intracellular signal transduction regulation of cell cycle cyclin-dependent protein serine/threonine kinase activity	1.8625	0.763672	1.4581	0.519804	0.0616	0.967106	-0.3427	0.803425
Glutathione_Metabolism	Cre17.g698650	Cre17.g698650	glutathione catabolic process transferase activity hydrolase activity acyltransferase activity plasma membrane leukotriene C4 gamma-glutamyl transferase activity	-1.2899	0.844195	0.5143	0.826401	-0.0612	0.984375	1.7429	0.621158
Phospholipid_Biosynthesis	Cre17.g698750	Cre17.g698750	actin binding membrane organization phospholipid binding actin cytoskeleton cell projection assembly	-1.3145	0.763672	0.1125	0.938372	0.2605	0.817647	1.6876	0.613983
Ubiquitin_Proteasome	Cre17.g698800	Cre17.g698800	metal ion binding zinc ion binding protein import into peroxisome matrix peroxisome organization peroxisomal membrane transferase activity protein transport ubiquitin protein ligase activity	0.1917	0.913155	0.0259	0.963401	1.0705	0.627762	0.9047	0.606213
Protein_Kinase_Signalling	Cre17.g698903	Cre17.g698903	regulation of DNA-templated transcription transferase activity kinase activity nucleotide binding ATP binding photoreceptor activity	2.588	0.763672	0.575	0.567276	1.829	0.627762	-0.1839	0.900976
Glutamate	Cre17.g699500	Cre17.g699500	nucleotide binding ATP binding ligase activity ciliary basal body tubulin binding microtubule cytoskeleton organization tubulin-glutamic acid ligase activity protein modification process	0.0907	0.976223	-0.2186	0.91175	1.1905	0.661227	0.8812	0.648983
Wax_Cutin	Cre17.g699650	Cre17.g699650	dolichyl monophosphate biosynthetic process transferase activity endoplasmic reticulum membrane dehydrodolichyl diphosphate synthase complex ditrans,polycis-polyprenyl diphosphate synthase [(2E,6E)-farnesyl diphosphate specific] activity	0.7413	0.843141	0.5643	0.466077	0.3948	0.817647	0.2178	0.886574
Serine	Cre17.g700133	Cre17.g700133	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus mitotic spindle organization regulation of cytokinesis spindle microtubule chromosome passenger complex spindle midzone	2.6194	0.763672	0.0918	0.913055	1.7858	0.627762	-0.7418	0.73906
Serine	Cre17.g700166	Cre17.g700166	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm intracellular signal transduction	-0.3335	0.882584	-0.6178	0.276053	0.7745	0.627762	0.4902	0.625991
TCA_Cycle	Cre17.g700450	Cre17.g700450	membrane proton transmembrane transport plasma membrane acetate:proton symporter activity acetate transmembrane transport succinate transmembrane transport	0.2724	0.939747	-2.6647	0.140866	1.0127	0.627762	-1.9244	0.663918
Ubiquitin_Proteasome	Cre17.g700550	Cre17.g700550	cytoplasm ubiquitin protein ligase binding proteasome-mediated ubiquitin-dependent protein catabolic process regulation of proteolysis protein binding	-0.5241	0.808757	0.5386	0.594782	1.7659	0.627762	2.8287	0.606213
Ubiquitin_Proteasome	Cre17.g700600	Cre17.g700600	cytoplasm ubiquitin protein ligase binding proteasome-mediated ubiquitin-dependent protein catabolic process regulation of proteolysis protein binding	0.1133	0.971792	0.4632	0.530945	2.6989	0.627762	3.0487	0.606213
TCA_Cycle	Cre17.g700650	Cre17.g700650	membrane proton transmembrane transport plasma membrane acetate:proton symporter activity acetate transmembrane transport succinate transmembrane transport	-0.8813	0.765014	-0.9594	0.243785	0.4143	0.637847	0.3361	0.693232
TCA_Cycle	Cre17.g700750	Cre17.g700750	membrane proton transmembrane transport plasma membrane acetate:proton symporter activity acetate transmembrane transport succinate transmembrane transport	-2.4906	0.765014	-4.1754	0.248365	0.5792	0.685237	-1.1056	0.606683
Translation	Cre17.g701200	Cre17.g701200	translation ribosome structural constituent of ribosome RNA binding ribosomal large subunit biogenesis cytosolic large ribosomal subunit ribonucleoprotein complex	-1.1938	0.765014	0.8121	0.541274	-0.6135	0.662244	1.3923	0.606213
RNA_Processing	Cre17.g701350	Cre17.g701350	RNA binding nucleic acid binding RNA-DNA hybrid ribonuclease activity endonuclease activity hydrolase activity metal ion binding nuclease activity RNA metabolic process mismatch repair DNA replication, removal of RNA primer ribonuclease H2 complex RNA catabolic process	-1.2341	0.786752	-3.8862	0.295421	2.1792	0.627762	-0.4729	0.779383
Chaperone	Cre17.g701500	Cre17.g701500	ATP binding protein folding response to heat heat shock protein binding metal ion binding zinc ion binding cytosol cellular response to heat protein refolding ATPase activator activity Hsp70 protein binding	-0.5723	0.765014	-0.4148	0.63302	0.4646	0.659668	0.6221	0.612329
Translation	Cre17.g701650	Cre17.g701650	translation ribosome structural constituent of ribosome cytosolic large ribosomal subunit ribonucleoprotein complex	0.2177	0.924808	0.1098	0.854509	0.7482	0.627762	0.6404	0.66105
Omega3_Fatty_Acid	Cre17.g701700	Cre17.g701700	oxidoreductase activity fatty acid metabolic process stearoyl-[ACP] desaturase activity metal ion binding chloroplast lipid metabolic process fatty acid biosynthetic process	-0.5046	0.773877	-1.0636	0.204501	1.1417	0.627762	0.5827	0.606213
Photosynthesis	Cre17.g702500	Cre17.g702500	RNA binding chloroplast organization photosystem I assembly	0.4763	0.839673	0.9587	0.348314	0.243	0.715599	0.7254	0.621158
Serine	Cre17.g702600	Cre17.g702600	ATP binding protein kinase activity protein phosphorylation protein serine/threonine kinase activity signal transduction	1.1309	0.763672	-0.412	0.68423	0.8208	0.637243	-0.7221	0.615365
TCA_Cycle	Cre17.g702900	Cre17.g702900	membrane proton transmembrane transport plasma membrane acetate:proton symporter activity acetate transmembrane transport succinate transmembrane transport	-6.1737	0.763672	-8.8823	0.203765	0.1114	0.898997	-2.5973	0.606683
TCA_Cycle	Cre17.g702950	Cre17.g702950	membrane proton transmembrane transport plasma membrane acetate:proton symporter activity acetate transmembrane transport succinate transmembrane transport	-3.0373	0.763672	-5.0812	0.024539	0.494	0.634893	-1.5499	0.606213
ROS_Scavenging	Cre17.g703176	Cre17.g703176	metal ion binding superoxide dismutase activity oxidoreductase activity superoxide metabolic process removal of superoxide radicals cytoplasm	1.6427	0.763672	0.6232	0.629774	1.3713	0.627762	0.3518	0.829219
Phospholipid_Biosynthesis	Cre17.g703200	Cre17.g703200	Golgi membrane plasma membrane phosphatidylinositol transfer activity phospholipid transport post-Golgi vesicle-mediated transport	-0.4582	0.886665	-0.104	0.883754	0.6994	0.63736	1.0536	0.606213
Ubiquitin_Proteasome	Cre17.g703650	Cre17.g703650	axoneme SCF ubiquitin ligase complex SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	0	NA	0	NA	0	NA	0	NA
TCA_Cycle	Cre17.g703700	Cre17.g703700	ATP binding metal ion binding tricarboxylic acid cycle catalytic activity nucleotide binding cytoplasm magnesium ion binding ligase activity mitochondrion succinate-CoA ligase (ADP-forming) activity succinyl-CoA metabolic process succinate-CoA ligase complex	-0.1439	0.975131	-0.948	0.706171	0.5729	0.824389	-0.2312	0.917269
Vitamin_E_Tocopherol	Cre17.g704400	Cre17.g704400	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	3.0002	0.763672	1.9935	0.284094	1.6664	0.627762	0.6597	0.611474
Vitamin_E_Tocopherol	Cre17.g704450	Cre17.g704450	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	2.4784	0.763672	0.4134	0.712627	1.9868	0.627762	-0.0782	0.936281
Vitamin_E_Tocopherol	Cre17.g704700	Cre17.g704700	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	-0.9038	0.860032	-2.9619	0.134562	0.7075	0.678748	-1.3505	0.66768
Vitamin_E_Tocopherol	Cre17.g704750	Cre17.g704750	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	0.0157	0.993326	0.4146	0.416299	0.0153	0.977566	0.4142	0.68985
Purine	Cre17.g704850	Cre17.g704850	cytoplasm adenine phosphoribosyltransferase activity adenine salvage transferase activity glycosyltransferase activity purine ribonucleoside salvage cytosol AMP salvage	-1.2467	0.765014	-1.5619	0.30077	0.8767	0.627762	0.5616	0.643149
Serine	Cre17.g705000	Cre17.g705000	ATP binding protein kinase activity calcium ion binding protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus cytoplasm intracellular signal transduction calmodulin binding calcium-dependent protein serine/threonine kinase activity calcium/calmodulin-dependent protein kinase activity	0.316	0.890552	-0.0365	0.977323	0.6284	0.706149	0.276	0.755032
Serine	Cre17.g705350	Cre17.g705350	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding cytoplasm protein serine/threonine kinase activity intracellular signal transduction cGMP binding	0.0793	0.949762	0.1671	0.747578	0.511	0.627762	0.5988	0.606213
Ubiquitin_Proteasome	Cre17.g705400	Cre17.g705400	ubiquitin-dependent protein catabolic process proteasome core complex, alpha-subunit complex proteolysis involved in protein catabolic process proteasome core complex nucleus cytoplasm proteasome complex cytosol proteasome-mediated ubiquitin-dependent protein catabolic process	-0.4684	0.797413	-0.8194	0.392635	0.684	0.627762	0.3331	0.66768
Ubiquitin_Proteasome	Cre17.g705450	Cre17.g705450	protein ubiquitination ubiquitin-protein transferase activity	-7.1501	0.765014	-1.9587	0.159133	2.4998	0.627762	7.6912	0.606213
Proline	Cre17.g705700	Cre17.g705700	RNA binding ATP binding cytoplasm kinase activity glutamate 5-kinase activity L-proline biosynthetic process transferase activity nucleotide binding amino acid biosynthetic process cytosol	0.7375	0.805383	-0.1054	0.912516	1.3929	0.627762	0.5501	0.72431
Ubiquitin_Proteasome	Cre17.g705750	Cre17.g705750	metal ion binding ubiquitin-protein transferase activity	0	NA	2.2547	0.594782	0	NA	2.2547	0.66768
Ubiquitin_Proteasome	Cre17.g705778	Cre17.g705778	metal ion binding ubiquitin-protein transferase activity	0	NA	0	NA	0	NA	0	NA
Ubiquitin_Proteasome	Cre17.g705806	Cre17.g705806	metal ion binding ubiquitin-protein transferase activity	-1.5173	0.765014	3.8536	0.485813	0.3522	0.879592	5.723	0.614764
Ubiquitin_Proteasome	Cre17.g705836	Cre17.g705836	metal ion binding ubiquitin-protein transferase activity	1.2958	0.763672	1.4439	0.400231	1.0769	0.627762	1.225	0.606213
Ubiquitin_Proteasome	Cre17.g705843	Cre17.g705843	metal ion binding ubiquitin-protein transferase activity	1.6495	0.763672	1.6866	0.374241	1.0891	0.627762	1.1262	0.606213
Proline	Cre17.g705850	Cre17.g705850	RNA binding ATP binding cytoplasm kinase activity glutamate 5-kinase activity L-proline biosynthetic process transferase activity nucleotide binding amino acid biosynthetic process cytosol	0.2462	0.926943	-1.4578	0.277612	1.1041	0.627762	-0.5999	0.678157
Ubiquitin_Proteasome	Cre17.g706650	Cre17.g706650	ESCRT II complex protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway multivesicular body sorting pathway	0.0824	0.966564	0.4132	0.313691	0.0456	0.954184	0.3764	0.709525
Phospholipid_Biosynthesis	Cre17.g707300	Cre17.g707300	acyltransferase activity O-acyltransferase activity transferase activity membrane lipid metabolic process acyltransferase activity, transferring groups other than amino-acyl groups phospholipid biosynthetic process	-0.6376	0.772261	-0.0985	0.892201	0.1623	0.849446	0.7013	0.629156
Serine	Cre17.g707650	Cre17.g707650	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity	-2.3033	0.763672	-2.6611	0.356369	0.7682	0.637243	0.4104	0.66768
Serine	Cre17.g707800	Cre17.g707800	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity	-0.1577	0.925861	-0.6279	0.553809	0.6377	0.637243	0.1674	0.823036
Chaperone	Cre17.g707950	Cre17.g707950	zinc ion binding metal ion binding protein-folding chaperone binding protein folding protein import into mitochondrial matrix mitochondrion	-0.1518	0.949861	-0.2097	0.662766	0.4679	0.674355	0.41	0.698184
Protein_Kinase_Signalling	Cre17.g708000	Cre17.g708000	transferase activity kinase activity nucleotide binding ATP binding photoreceptor activity	0.2064	0.938773	-1.0276	0.288188	0.3597	0.634967	-0.8743	0.710594
Serine	Cre17.g708050	Cre17.g708050	protein kinase activity protein phosphorylation protein serine/threonine kinase activity signal transduction	0.2399	0.920012	-0.1554	0.846671	1.1095	0.627762	0.7143	0.606213
Purine	Cre17.g708100	Cre17.g708100	purine ribonucleoside salvage hypoxanthine phosphoribosyltransferase activity transferase activity nucleotide binding metal ion binding glycosyltransferase activity cytoplasm IMP salvage cytosol magnesium ion binding guanine salvage GMP salvage hypoxanthine metabolic process	0.7336	0.763672	-0.0013	0.998559	0.97	0.627762	0.2351	0.762926
Ubiquitin_Proteasome	Cre17.g708300	Cre17.g708300	proteolysis proteasome regulatory particle proteasome complex nucleus proteasome regulatory particle, lid subcomplex proteasome-mediated ubiquitin-dependent protein catabolic process	-0.7511	0.764391	-0.9478	0.3048	0.2684	0.704453	0.0717	0.949855
Serine	Cre17.g708400	Cre17.g708400	serine-type endopeptidase activity serine-type peptidase activity proteolysis hydrolase activity peptidase activity	0.3857	0.87871	-0.1762	0.765531	-0.1335	0.87326	-0.6954	0.706671
Glutathione_Metabolism	Cre17.g708800	Cre17.g708800	ATP binding ligase activity glutathione biosynthetic process glutathione synthase activity nucleotide binding metal ion binding magnesium ion binding glutathione binding cytosol	-0.9344	0.765014	-0.7896	0.187346	0.3644	0.661123	0.5093	0.606213
Serine	Cre17.g709500	Cre17.g709500	ATP binding protein kinase activity protein phosphorylation nucleotide binding nucleus cytoplasm protein serine/threonine kinase activity intracellular signal transduction	0.7202	0.766691	1.7003	0.299291	0.078	0.88966	1.0581	0.606213
Serine	Cre17.g709750	Cre17.g709750	ATP binding protein kinase activity protein phosphorylation nucleotide binding nucleus cytoplasm protein serine/threonine kinase activity intracellular signal transduction	0.589	0.765014	1.9704	0.303756	0.4556	0.648715	1.8371	0.606213
Protein_Kinase_Signalling	Cre17.g709850	Cre17.g709850	kinase activity phosphorylation organic acid metabolic process transferase activity nucleotide binding ATP binding metal ion binding magnesium ion binding acetate kinase activity phosphotransferase activity, carboxyl group as acceptor acetyl-CoA biosynthetic process acetate metabolic process	-0.5471	0.770847	-0.3466	0.529517	0.5642	0.627762	0.7648	0.606213
Protein_Kinase_Signalling	Cre17.g709900	Cre17.g709900	ATP binding protein kinase activity protein phosphorylation cytoplasm signal transduction	0.9088	0.763672	1.9022	0.197697	1.7149	0.627762	2.7083	0.606213
Serine	Cre17.g709950	Cre17.g709950	cytoplasm intracellular signal transduction protein serine/threonine kinase activator activity	-0.0938	0.946271	-0.1612	0.791998	0.2868	0.683031	0.2194	0.806887
Protein_Kinase_Signalling	Cre17.g710000	Cre17.g710000	ATP binding protein kinase activity protein phosphorylation cytoplasm signal transduction	0.0018	0.999829	-2.2175	0.263919	0.4713	0.637677	-1.7481	0.682924
Translation	Cre17.g710100	Cre17.g710100	ribosome biogenesis nucleus rRNA processing ribonucleoprotein complex binding maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ribosomal large subunit biogenesis nucleoplasm nucleolus preribosome, large subunit precursor protein binding	0.55	0.765014	0.9129	0.358753	0.2667	0.723234	0.6296	0.610123
Ubiquitin_Proteasome	Cre17.g710150	Cre17.g710150	ATP binding ATP hydrolysis activity nucleus nucleotide binding cytoplasm proteasome complex positive regulation of RNA polymerase II transcription preinitiation complex assembly proteasome regulatory particle, base subcomplex proteasome-mediated ubiquitin-dependent protein catabolic process ERAD pathway	-0.419	0.81186	-0.2292	0.799455	0.6604	0.627762	0.8502	0.622917
Tryptophan	Cre17.g710200	Cre17.g710200	heme binding metal ion binding L-tryptophan catabolic process to kynurenine L-tryptophan metabolic process oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	0.1035	0.96386	-0.7874	0.443203	0.5251	0.644086	-0.3658	0.811316
Serine	Cre17.g710600	Cre17.g710600	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm signal transduction	-0.2385	0.872549	-0.226	0.831018	0.4287	0.689694	0.4412	0.700236
Serine	Cre17.g710650	Cre17.g710650	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm signal transduction	2.3367	0.763672	1.8367	0.171851	0.9181	0.630269	0.4181	0.610123
Serine	Cre17.g711550	Cre17.g711550	nucleus cytoplasm cyclin-dependent protein kinase holoenzyme complex G1/S transition of mitotic cell cycle cyclin-dependent protein serine/threonine kinase regulator activity	1.6739	0.763672	0.8267	0.407676	-0.0166	0.985863	-0.8638	0.612375
Vitamin_C_Ascorbate	Cre17.g712100	Cre17.g712100	oxidoreductase activity oxidoreductase activity, acting on NAD(P)H monodehydroascorbate reductase (NADH) activity	-0.3965	0.808757	0.0196	0.98262	0.8584	0.627762	1.2745	0.606213
Cysteine	Cre17.g712200	Cre17.g712200	cysteine-type deubiquitinase activity protein deubiquitination	-0.2666	0.883365	0.6813	0.547231	0.2854	0.747407	1.2333	0.606213
Protein_Kinase_Signalling	Cre17.g712250	Cre17.g712250	protein kinase activity protein phosphorylation	0.5216	0.765014	0.9657	0.443806	0.6167	0.627762	1.0609	0.606213
Serine	Cre17.g713025	Cre17.g713025	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	1.8413	0.765014	2.3507	0.243785	2.2585	0.627762	2.7679	0.606213
Serine	Cre17.g713600	Cre17.g713600	serine-type endopeptidase activity serine-type peptidase activity proteolysis hydrolase activity peptidase activity	-1.1535	0.791195	0.4358	0.554738	0.6814	0.65828	2.2707	0.606213
Tryptophan	Cre17.g713700	Cre17.g713700	heme binding metal ion binding L-tryptophan catabolic process to kynurenine L-tryptophan metabolic process oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	5.9676	0.763672	6.6548	0.20595	1.3836	0.637243	2.0709	0.606213
Serine	Cre17.g713750	Cre17.g713750	ATP binding protein kinase activity protein phosphorylation nucleotide binding protein serine/threonine kinase activity	-2.7718	0.763672	-2.6276	0.185426	0.6371	0.637243	0.7813	0.725671
Serine	Cre17.g713850	Cre17.g713850	cytoplasm transferase activity cysteine biosynthetic process from serine serine O-acetyltransferase activity acyltransferase activity amino acid biosynthetic process cysteine biosynthetic process cytosol	0.4013	0.853494	-0.4728	0.542451	0.6608	0.637243	-0.2133	0.82699
Chaperone	Cre17.g715000	Cre17.g715000	cytoplasm protein folding protein folding chaperone protein refolding	-0.7319	0.763672	-0.2491	0.745522	0.7084	0.627762	1.1912	0.606213
Fatty_Acid	Cre17.g715250	Cre17.g715250	fatty acid biosynthetic process acetyl-CoA carboxylase activity acetyl-CoA carboxylase complex chloroplast lipid metabolic process fatty acid metabolic process CoA carboxylase activity	-1.1436	0.763672	-1.6984	0.117669	0.405	0.637243	-0.1498	0.889974
Serine	Cre17.g715700	Cre17.g715700	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	0.9352	0.764922	0.9207	0.291623	0.5619	0.627762	0.5473	0.631541
Folate	Cre17.g715900	Cre17.g715900	tetrahydrofolate biosynthetic process one-carbon metabolic process dihydrofolate reductase activity thymidylate synthase activity dTMP biosynthetic process transferase activity oxidoreductase activity methyltransferase activity methylation nucleotide biosynthetic process catalytic activity cytosol mitochondrion transferase activity, transferring one-carbon groups	-2.0329	0.763672	-1.627	0.066598	0.6916	0.627762	1.0974	0.606213
Ubiquitin_Proteasome	Cre17.g716150	Cre17.g716150	nucleus protein tag activity protein sumoylation ubiquitin-like protein ligase binding protein binding	-0.4096	0.826136	-0.6357	0.442133	0.99	0.627762	0.7639	0.606213
Ubiquitin_Proteasome	Cre17.g716200	Cre17.g716200	nucleus protein tag activity protein sumoylation ubiquitin-like protein ligase binding protein binding	0.3828	0.813109	0.2876	0.712236	0.6902	0.629093	0.595	0.621988
Ubiquitin_Proteasome	Cre17.g716251	Cre17.g716251	nucleus protein tag activity protein sumoylation ubiquitin-like protein ligase binding protein binding	-0.2053	0.964253	0.1528	0.871272	1.1758	0.637243	1.5339	0.606213
Ubiquitin_Proteasome	Cre17.g716301	Cre17.g716301	nucleus protein tag activity protein sumoylation ubiquitin-like protein ligase binding protein binding	-4.2453	0.770229	-1.6169	0.238246	1.001	0.637243	3.6294	0.606213
Translation	Cre17.g716400	Cre17.g716400	ribosomal large subunit biogenesis preribosome, large subunit precursor	0.231	0.920012	0.4318	0.429898	0.9252	0.627762	1.126	0.606213
Serine	Cre17.g717100	Cre17.g717100	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	0.2774	0.890591	-0.1871	0.631541	1.0655	0.627762	0.601	0.606213
Protein_Kinase_Signalling	Cre17.g717300	Cre17.g717300	dephosphorylation hydrolase activity phosphoprotein phosphatase activity cytoplasm JUN kinase phosphatase activity protein dephosphorylation phosphatase activity regulation of JNK cascade	-0.183	0.89968	-0.574	0.431069	0.4601	0.627762	0.0691	0.949705
Phospholipid_Biosynthesis	Cre17.g718100	Cre17.g718100	Golgi membrane plasma membrane phosphatidylinositol transfer activity phospholipid transport post-Golgi vesicle-mediated transport	-0.4369	0.88557	0.1593	0.939945	-0.3131	0.86619	0.2831	0.887047
Ubiquitin_Proteasome	Cre17.g718300	Cre17.g718300	zinc ion binding metal ion binding nucleus ubiquitin protein ligase activity ubiquitin-dependent protein catabolic process protein ubiquitination	-0.3113	0.844195	0.2322	0.793832	0.3741	0.654877	0.9176	0.611974
Translation	Cre17.g718650	Cre17.g718650	nucleolus ribosomal large subunit biogenesis preribosome, large subunit precursor protein binding	0.3871	0.865255	0.2905	0.451834	0.9793	0.627762	0.8826	0.606213
RNA_Processing	Cre17.g719000	Cre17.g719000	ATP binding nucleic acid binding RNA helicase activity nucleus nucleotide binding helicase activity hydrolase activity mRNA binding	-1.0097	0.763672	-1.8444	0.237486	0.484	0.636378	-0.3507	0.642789
Serine	Cre17.g719450	Cre17.g719450	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus mitotic spindle organization regulation of cytokinesis spindle microtubule chromosome passenger complex spindle midzone	0.798	0.765014	0.4901	0.358753	0.828	0.627762	0.5201	0.645848
