Pathway	GeneID	Symbol	Description	wtns_vs_wtc_log2FC	wtns_vs_wtc_padj	vipns_vs_vipc_log2FC	vipns_vs_vipc_padj	vipc_vs_wtc_log2FC	vipc_vs_wtc_padj	vipns_vs_wtns_log2FC	vipns_vs_wtns_padj
Translation	Cre09.g388200	Cre09.g388200	translation ribosome structural constituent of ribosome cytosolic large ribosomal subunit ribonucleoprotein complex response to UV-B	-0.4371	0.844026	1.663	0.340042	-0.4063	0.695255	1.6937	0.606213
Translation	Cre09.g388282	Cre09.g388282	translation ribosome structural constituent of ribosome RNA binding small ribosomal subunit rRNA binding mitochondrial small ribosomal subunit ribonucleoprotein complex	-0.3733	0.797902	-0.4394	0.466586	0.6208	0.627762	0.5548	0.652176
Translation	Cre09.g388550	Cre09.g388550	translation ribosome structural constituent of ribosome RNA binding cytoplasm ribonucleoprotein complex	-1.5052	0.763672	-0.6876	0.375847	0.3631	0.684778	1.1807	0.606213
Translation	Cre09.g388615	Cre09.g388615	nuclear-transcribed mRNA catabolic process, non-stop decay nuclear-transcribed mRNA catabolic process, no-go decay RNA surveillance metal ion binding cytoplasm ribosome disassembly nonfunctional rRNA decay	-0.7182	0.765014	-0.1605	0.805029	0.5539	0.627762	1.1116	0.606213
Ubiquitin_Proteasome	Cre09.g388652	Cre09.g388652	cytoplasm ubiquitin ligase complex protein binding	1.1348	0.765014	1.3688	0.146667	1.2452	0.627762	1.4792	0.606213
Serine	Cre09.g388689	Cre09.g388689	ATP binding protein kinase activity protein phosphorylation nucleotide binding protein serine/threonine kinase activity signal transduction	1.6223	0.763672	0.6925	0.358508	1.1288	0.627762	0.199	0.798716
Protein_Kinase_Signalling	Cre09.g388700	Cre09.g388700	ATP binding protein kinase activity protein phosphorylation cytoplasm signal transduction	1.3794	0.763672	1.3627	0.251977	0.9475	0.633067	0.9308	0.606213
Protein_Kinase_Signalling	Cre09.g388726	Cre09.g388726	DNA repair polynucleotide 3'-phosphatase activity ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity	-2.0296	0.763672	-2.1789	0.079091	0.0586	0.957676	-0.0908	0.941845
Inositol	Cre09.g388750	Cre09.g388750	phosphatase activity endoplasmic reticulum phosphatidylinositol dephosphorylation phosphatidylinositol-4-phosphate phosphatase activity	0.4445	0.765014	0.2715	0.68268	0.4783	0.637373	0.3053	0.66768
Glutamate	Cre09.g388800	Cre09.g388800	oxidoreductase activity amino acid metabolic process oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor mitochondrion glutamate dehydrogenase (NAD+) activity L-glutamate catabolic process glutamate dehydrogenase [NAD(P)+] activity	0.1277	0.927184	0.2702	0.691542	-0.0222	0.97675	0.1203	0.888456
