Pathway	GeneID	Symbol	Description	Salt_vs_Control_log2FC	Salt_vs_Control_padj	PEG_vs_Control_log2FC	PEG_vs_Control_padj
Fatty Acids	Cluster-31803.111626	Cluster-31803.111626	long chain acyl-coa elongase [Phaeodactylum tricornutum CCAP 1055/1]>gi|217409815|gb|EEC49746.1| long chain acyl-coa elongase [Phaeodactylum tricornutum CCAP 1055/1]	15.7471702287672	NA	14.7471964588708	NA
Fatty Acids	Cluster-31803.115282	Cluster-31803.115282	polyunsaturated fatty acid delta-5-desaturase [Marchantia polymorpha]	15.680057281972	NA	17.3751837072162	NA
Fatty Acids	Cluster-31803.115281	Cluster-31803.115281	polyunsaturated fatty acid delta-5-desaturase [Marchantia polymorpha]	15.3752091661661	NA	16.7471571135366	NA
Fatty Acids	Cluster-33711.0	Cluster-33711.0	stearoyl-CoA desaturase (delta-9 desaturase) [Galdieria sulphuraria]>gi|452825181|gb|EME32179.1| stearoyl-CoA desaturase (delta-9 desaturase) [Galdieria sulphuraria]	3.74140024669482	NA	4.20938513185073	NA
Fatty Acids	Cluster-31803.107133	Cluster-31803.107133	chloroplast delta-6 fatty acid desaturase [Chlamydomonas sp. ICE-L]	3.71046915596627	NA	3.65948529932445	NA
Proline	Cluster-31803.112791	Cluster-31803.112791	"osmotic stress-responsive proline dehydrogenase, putative [Galdieria sulphuraria]>gi|452824039|gb|EME31045.1| osmotic stress-responsive proline dehydrogenase, putative [Galdieria sulphuraria]"	3.04435185938433	NA	2.43736610137009	NA
Proline	Cluster-31803.9168	Cluster-31803.9168	pyrroline-5-carboxylate reductase [Monoraphidium neglectum]	2.80022196644778	NA	1.74934232840678	NA
Fatty Acids	Cluster-31803.35753	Cluster-31803.35753	omega-3 fatty acid desaturase [Chlorella vulgaris]	2.55253570401544	NA	2.66042634820971	NA
Carotenoids	Cluster-31803.14683	Cluster-31803.14683	phytoene desaturase [Auxenochlorella protothecoides]	2.23131567264174	NA	2.58495204646229	NA
Gibberellin/GA3	Cluster-27215.0	Cluster-27215.0	PREDICTED: gibberellin 3-beta-dioxygenase 4 [Amborella trichopoda]>gi|548832240|gb|ERM95036.1| hypothetical protein AMTR_s00009p00242710 [Amborella trichopoda]	1.87443414423277	NA	1.58493044154378	NA
Carotenoids	Cluster-31803.80885	Cluster-31803.80885	phytoene synthase [Auxenochlorella protothecoides]>gi|314991140|gb|ADT65126.1| phytoene synthase [Auxenochlorella protothecoides]	1.61874989197082	NA	2.08544938800589	NA
Carotenoids	Cluster-31803.105551	Cluster-31803.105551	zeta-carotene desaturase [Auxenochlorella protothecoides]>gi|313870542|gb|ADR82202.1| zeta-carotene desaturase [Auxenochlorella protothecoides]	1.54933395796055	NA	2.71925762357572	NA
Fatty Acids	Cluster-31803.96909	Cluster-31803.96909	omega-3 fatty acid desaturase [Chlorella vulgaris]	1.47965198280211	NA	1.21257073335476	NA
Fatty Acids	Cluster-31803.72189	Cluster-31803.72189	plastid delta12 fatty acid desaturase [Chlorella vulgaris]	1.47951795089826	NA	1.56569321643907	NA
Glycine betaine	Cluster-31803.59265	Cluster-31803.59265	"Betaine aldehyde dehydrogenase 1, chloroplastic [Auxenochlorella protothecoides]>gi|675352760|gb|KFM25200.1| Betaine aldehyde dehydrogenase 1, chloroplastic [Auxenochlorella protothecoides]"	1.39873422706083	NA	1.03259796752581	NA
Fatty Acids	Cluster-31803.66774	Cluster-31803.66774	plastid delta12 fatty acid desaturase [Chlorella vulgaris]	1.28395667319505	NA	0.973218303041653	NA
Fatty Acids	Cluster-31803.36159	Cluster-31803.36159	omega-3 fatty acid desaturase [Chlorella vulgaris]	1.20148846778019	NA	0.60148168489531	NA
Fatty Acids	Cluster-31803.86963	Cluster-31803.86963	"stearoyl-CoA desaturase Delta-9 fatty acid desaturase, partial [Chondrus crispus]>gi|507115875|emb|CDF39296.1| stearoyl-CoA desaturase Delta-9 fatty acid desaturase, partial [Chondrus crispus]"	1.17631633800236	NA	-0.152001811060287	NA
Carotenoids	Cluster-31803.62178	Cluster-31803.62178	phytoene synthase [Auxenochlorella protothecoides]>gi|314991140|gb|ADT65126.1| phytoene synthase [Auxenochlorella protothecoides]	1.02287624485993	NA	1.50137360991025	NA
Fatty Acids	Cluster-19771.0	Cluster-19771.0	fatty acid elongase [Chondrus crispus]>gi|507111208|emb|CDF34939.1| fatty acid elongase [Chondrus crispus]	0.951081113300076	NA	2.03560936560864	NA
Carotenoids	Cluster-31803.92542	Cluster-31803.92542	phytoene desaturase [Auxenochlorella protothecoides]	0.868189136737641	NA	0.418801745646422	NA
Fatty Acids	Cluster-31803.115193	Cluster-31803.115193	stearoyl-CoA desaturase (delta-9 desaturase) [Galdieria sulphuraria]>gi|452820173|gb|EME27219.1| stearoyl-CoA desaturase (delta-9 desaturase) [Galdieria sulphuraria]	0.867161903314895	NA	-0.999994656714718	NA
Carotenoids	Cluster-31803.80887	Cluster-31803.80887	phytoene synthase [Auxenochlorella protothecoides]>gi|314991140|gb|ADT65126.1| phytoene synthase [Auxenochlorella protothecoides]	0.782688123188791	NA	0.691856706783938	NA
Fatty Acids	Cluster-19680.0	Cluster-19680.0	stearoyl-CoA desaturase (delta-9 desaturase) [Galdieria sulphuraria]>gi|452825181|gb|EME32179.1| stearoyl-CoA desaturase (delta-9 desaturase) [Galdieria sulphuraria]	0.731980866923802	NA	1.16068101609123	NA
Carotenoids	Cluster-31803.47964	Cluster-31803.47964	zeta-carotene desaturase [Auxenochlorella protothecoides]>gi|313870542|gb|ADR82202.1| zeta-carotene desaturase [Auxenochlorella protothecoides]	0.70940684254707	NA	1.38299886334707	NA
Fatty Acids	Cluster-31803.107331	Cluster-31803.107331	fatty acid elongase [Chondrus crispus]>gi|507111208|emb|CDF34939.1| fatty acid elongase [Chondrus crispus]	0.597063914630557	NA	1.13418478030836	NA
Fatty Acids	Cluster-31803.36158	Cluster-31803.36158	omega-3 fatty acid desaturase [Chlorella vulgaris]	0.580239622101768	NA	-1.15672376466533	NA
Fatty Acids	Cluster-31803.90123	Cluster-31803.90123	PREDICTED: sphingolipid delta(4)-desaturase DES1-like [Cicer arietinum]	0.568141766094496	NA	-0.362666856302281	NA
Fatty Acids	Cluster-22711.0	Cluster-22711.0	delta 6 desaturase [Lobosphaera incisa]	0.523558297073703	NA	-1.33701663747868	NA
Fatty Acids	Cluster-31803.8773	Cluster-31803.8773	acyl-CoA dependent delta5-desaturase [Coccomyxa subellipsoidea C-169]>gi|384252924|gb|EIE26399.1| acyl-CoA dependent delta5-desaturase [Coccomyxa subellipsoidea C-169]	0.492596541610531	NA	1.77830163554856	NA
